	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Orophin's Watch set bonus: 6 Equipped	192			=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;0;0;0;1;2)*CALCSLICE("Agility";B26;1)	=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;1;2;2;2;2)*CALCSLICE("Vitality";B26;1)											=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;0;0;0;0;1)*CALCSLICE("PhyMas";B26;1)							=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;0;0;1;1;1)*CALCSLICE("Evade";B26;1)																																												
#Spyhill set bonus: 6 Equipped	192			=CHOISIR(CNUM(STXT(A27;CHERCHE("Equipped";A27)-2;1))+1;0;0;1;1;1;2;3)*CALCSLICE("Agility";B27;1)	=CHOISIR(CNUM(STXT(A27;CHERCHE("Equipped";A27)-2;1))+1;0;0;0;1;1;1;2)*CALCSLICE("Vitality";B27;1)									=CHOISIR(CNUM(STXT(A27;CHERCHE("Equipped";A27)-2;1))+1;0;0;0;0;1;1;1)*CALCSLICE("CritHit";B27;1)																																																					
Head																																																																			
Clever Trapper's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B29)		=CALCSLICE("Agility";B29;0,8)				=CALCSLICE("Morale";B29;0,6)																																																										Head	Hu
Fearless Soldier's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B30)		=CALCSLICE("Agility";B30;0,8)				=CALCSLICE("Morale";B30;0,6)																																																										Head	Wa
Fierce Skin-changer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B31)	=CALCSLICE("Might";B31;0,8)					=CALCSLICE("Morale";B31;0,6)																																																										Head	Be
Hidden Blade's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B32)		=CALCSLICE("Agility";B32;0,8)				=CALCSLICE("Morale";B32;0,6)																																																										Head	Bu
Luck-maker's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B33)		=CALCSLICE("Agility";B33;0,8)				=CALCSLICE("Morale";B33;0,6)																																																										Head	Bu
Precise Bowmaster's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B34)		=CALCSLICE("Agility";B34;0,8)				=CALCSLICE("Morale";B34;0,6)																																																										Head	Hu
Resilient Skin-changer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B35)	=CALCSLICE("Might";B35;0,8)					=CALCSLICE("Morale";B35;0,6)																																																										Head	Be
Shield-splinterer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B36)		=CALCSLICE("Agility";B36;0,8)				=CALCSLICE("Morale";B36;0,6)																																																										Head	Wa
Sure-footed Huntsman's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B37)		=CALCSLICE("Agility";B37;0,8)				=CALCSLICE("Morale";B37;0,6)																																																										Head	Hu
Tenacious Skin-changer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B38)	=CALCSLICE("Might";B38;0,8)					=CALCSLICE("Morale";B38;0,6)																																																										Head	Be
Trickster's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B39)		=CALCSLICE("Agility";B39;0,8)				=CALCSLICE("Morale";B39;0,6)																																																										Head	Bu
Unshakeable Spearman's Helm of the Morannon (4s):	282	=CALCSLICE("ArmMHT";B40)		=CALCSLICE("Agility";B40;0,8)				=CALCSLICE("Morale";B40;0,6)																																																										Head	Wa
Supreme Helm of the Clever Trapper (4s):	258	=CALCSLICE("ArmMHT";B41)		=CALCSLICE("Agility";B41;0,8)				=CALCSLICE("Morale";B41;0,6)																																																										Head	Hu
Supreme Helm of the Fearless Soldier (4s):	258	=CALCSLICE("ArmMHT";B42)		=CALCSLICE("Agility";B42;0,8)				=CALCSLICE("Morale";B42;0,6)																																																										Head	Wa
Supreme Helm of the Fierce Skin-changer (4s):	258	=CALCSLICE("ArmMHT";B43)	=CALCSLICE("Might";B43;0,8)					=CALCSLICE("Morale";B43;0,6)																																																										Head	Be
Supreme Helm of the Hidden Blade (4s):	258	=CALCSLICE("ArmMHT";B44)		=CALCSLICE("Agility";B44;0,8)				=CALCSLICE("Morale";B44;0,6)																																																										Head	Bu
Supreme Helm of the Luck-maker (4s):	258	=CALCSLICE("ArmMHT";B45)		=CALCSLICE("Agility";B45;0,8)				=CALCSLICE("Morale";B45;0,6)																																																										Head	Bu
Supreme Helm of the Precise Bowmaster (4s):	258	=CALCSLICE("ArmMHT";B46)		=CALCSLICE("Agility";B46;0,8)				=CALCSLICE("Morale";B46;0,6)																																																										Head	Hu
Supreme Helm of the Resilient Skin-changer (4s):	258	=CALCSLICE("ArmMHT";B47)	=CALCSLICE("Might";B47;0,8)					=CALCSLICE("Morale";B47;0,6)																																																										Head	Be
Supreme Helm of the Shield-splinterer (4s):	258	=CALCSLICE("ArmMHT";B48)		=CALCSLICE("Agility";B48;0,8)				=CALCSLICE("Morale";B48;0,6)																																																										Head	Wa
Supreme Helm of the Sure-footed Huntsman (4s):	258	=CALCSLICE("ArmMHT";B49)		=CALCSLICE("Agility";B49;0,8)				=CALCSLICE("Morale";B49;0,6)																																																										Head	Hu
Supreme Helm of the Tenacious Skin-changer (4s):	258	=CALCSLICE("ArmMHT";B50)	=CALCSLICE("Might";B50;0,8)					=CALCSLICE("Morale";B50;0,6)																																																										Head	Be
Supreme Helm of the Trickster (4s):	258	=CALCSLICE("ArmMHT";B51)		=CALCSLICE("Agility";B51;0,8)				=CALCSLICE("Morale";B51;0,6)																																																										Head	Bu
Supreme Helm of the Unshakeable Spear (4s):	258	=CALCSLICE("ArmMHT";B52)		=CALCSLICE("Agility";B52;0,8)				=CALCSLICE("Morale";B52;0,6)																																																										Head	Wa
Brushed Helmet of the Ithilien Path-finder (4s):	246	=CALCSLICE("ArmMHT";B53)			=CALCSLICE("Vitality";B53;0,8)			=CALCSLICE("Morale";B53;0,6)																																																										Head	BeBuHuWa
Greater Helm of the Clever Trapper (4s):	234	=CALCSLICE("ArmMHT";B54)		=CALCSLICE("Agility";B54;0,8)				=CALCSLICE("Morale";B54;0,6)																																																										Head	Hu
Greater Helm of the Fearless Soldier (4s):	234	=CALCSLICE("ArmMHT";B55)		=CALCSLICE("Agility";B55;0,8)				=CALCSLICE("Morale";B55;0,6)																																																										Head	Wa
Greater Helm of the Fierce Skin-changer (4s):	234	=CALCSLICE("ArmMHT";B56)	=CALCSLICE("Might";B56;0,8)					=CALCSLICE("Morale";B56;0,6)																																																										Head	Be
Greater Helm of the Hidden Blade (4s):	234	=CALCSLICE("ArmMHT";B57)		=CALCSLICE("Agility";B57;0,8)				=CALCSLICE("Morale";B57;0,6)																																																										Head	Bu
Greater Helm of the Luck-maker (4s):	234	=CALCSLICE("ArmMHT";B58)		=CALCSLICE("Agility";B58;0,8)				=CALCSLICE("Morale";B58;0,6)																																																										Head	Bu
Greater Helm of the Precise Bowmaster (4s):	234	=CALCSLICE("ArmMHT";B59)		=CALCSLICE("Agility";B59;0,8)				=CALCSLICE("Morale";B59;0,6)																																																										Head	Hu
Greater Helm of the Resilient Skin-changer (4s):	234	=CALCSLICE("ArmMHT";B60)	=CALCSLICE("Might";B60;0,8)					=CALCSLICE("Morale";B60;0,6)																																																										Head	Be
Greater Helm of the Shield-splinterer (4s):	234	=CALCSLICE("ArmMHT";B61)		=CALCSLICE("Agility";B61;0,8)				=CALCSLICE("Morale";B61;0,6)																																																										Head	Wa
Greater Helm of the Sure-footed Huntsman (4s):	234	=CALCSLICE("ArmMHT";B62)		=CALCSLICE("Agility";B62;0,8)				=CALCSLICE("Morale";B62;0,6)																																																										Head	Hu
Greater Helm of the Tenacious Skin-changer (4s):	234	=CALCSLICE("ArmMHT";B63)	=CALCSLICE("Might";B63;0,8)					=CALCSLICE("Morale";B63;0,6)																																																										Head	Be
Greater Helm of the Trickster (4s):	234	=CALCSLICE("ArmMHT";B64)		=CALCSLICE("Agility";B64;0,8)				=CALCSLICE("Morale";B64;0,6)																																																										Head	Bu
Greater Helm of the Unshakeable Spear (4s):	234	=CALCSLICE("ArmMHT";B65)		=CALCSLICE("Agility";B65;0,8)				=CALCSLICE("Morale";B65;0,6)																																																										Head	Wa
Helm of the Clever Trapper (4s):	222	=CALCSLICE("ArmMHT";B66)		=CALCSLICE("Agility";B66;0,8)				=CALCSLICE("Morale";B66;0,6)																																																										Head	Hu
Helm of the Fearless Soldier (4s):	222	=CALCSLICE("ArmMHT";B67)		=CALCSLICE("Agility";B67;0,8)				=CALCSLICE("Morale";B67;0,6)																																																										Head	Wa
Helm of the Fierce Skin-changer (4s):	222	=CALCSLICE("ArmMHT";B68)	=CALCSLICE("Might";B68;0,8)					=CALCSLICE("Morale";B68;0,6)																																																										Head	Be
Helm of the Hidden Blade (4s):	222	=CALCSLICE("ArmMHT";B69)		=CALCSLICE("Agility";B69;0,8)				=CALCSLICE("Morale";B69;0,6)																																																										Head	Bu
Helm of the Luck-maker (4s):	222	=CALCSLICE("ArmMHT";B70)		=CALCSLICE("Agility";B70;0,8)				=CALCSLICE("Morale";B70;0,6)																																																										Head	Bu
Helm of the Precise Bowmaster (4s):	222	=CALCSLICE("ArmMHT";B71)		=CALCSLICE("Agility";B71;0,8)				=CALCSLICE("Morale";B71;0,6)																																																										Head	Hu
Helm of the Resilient Skin-changer (4s):	222	=CALCSLICE("ArmMHT";B72)	=CALCSLICE("Might";B72;0,8)					=CALCSLICE("Morale";B72;0,6)																																																										Head	Be
Helm of the Shield-splinterer (4s):	222	=CALCSLICE("ArmMHT";B73)		=CALCSLICE("Agility";B73;0,8)				=CALCSLICE("Morale";B73;0,6)																																																										Head	Wa
Helm of the Sure-footed Huntsman (4s):	222	=CALCSLICE("ArmMHT";B74)		=CALCSLICE("Agility";B74;0,8)				=CALCSLICE("Morale";B74;0,6)																																																										Head	Hu
Helm of the Tenacious Skin-changer (4s):	222	=CALCSLICE("ArmMHT";B75)	=CALCSLICE("Might";B75;0,8)					=CALCSLICE("Morale";B75;0,6)																																																										Head	Be
Helm of the Trickster (4s):	222	=CALCSLICE("ArmMHT";B76)		=CALCSLICE("Agility";B76;0,8)				=CALCSLICE("Morale";B76;0,6)																																																										Head	Bu
Helm of the Unshakeable Spear (4s):	222	=CALCSLICE("ArmMHT";B77)		=CALCSLICE("Agility";B77;0,8)				=CALCSLICE("Morale";B77;0,6)																																																										Head	Wa
Ambusher's Helm (4s):	222	=CALCSLICE("ArmMHT";B78)		=CALCSLICE("Agility";B78;0,8)				=CALCSLICE("Morale";B78;0,6)																																																										Head	Bu
Battle-outrider's Helm (4s):	222	=CALCSLICE("ArmMHT";B79)		=CALCSLICE("Agility";B79;0,8)				=CALCSLICE("Morale";B79;0,6)																																																										Head	Hu
Juggernaut's Helm (4s):	222	=CALCSLICE("ArmMHT";B80)		=CALCSLICE("Agility";B80;0,8)				=CALCSLICE("Morale";B80;0,6)																																																										Head	Wa
War-bear's Helm (4s):	222	=CALCSLICE("ArmMHT";B81)	=CALCSLICE("Might";B81;0,8)					=CALCSLICE("Morale";B81;0,6)																																																										Head	Be
Ancient Doom-hunter's Helm (2s):	222	=CALCSLICE("ArmMHT";B82)		=CALCSLICE("Agility";B82;2)				=CALCSLICE("Morale";B82;1)								=CALCSLICE("PhyMas";B82;0,4)								=CALCSLICE("PhyMit";B82;0,8)																																										Head	Hu
Ancient Rift-reaper's Helm (2s):	222	=CALCSLICE("ArmMHT";B83)	=CALCSLICE("Might";B83;2)					=CALCSLICE("Morale";B83;1)															=CALCSLICE("Evade";B83;0,4)	=CALCSLICE("PhyMit";B83;0,8)																																										Head	Be
Ancient Thrill-seeker's Helm (2s):	222	=CALCSLICE("ArmMHT";B84)		=CALCSLICE("Agility";B84;2)				=CALCSLICE("Morale";B84;1)								=CALCSLICE("PhyMas";B84;0,4)								=CALCSLICE("PhyMit";B84;0,8)																																										Head	Bu
Ancient Town-saver's Helm (2s):	222	=CALCSLICE("ArmMHT";B85)		=CALCSLICE("Agility";B85;2)				=CALCSLICE("Morale";B85;1)													=CALCSLICE("Block";B85;0,4)			=CALCSLICE("PhyMit";B85;0,8)																																										Head	Wa
Fine Mathom-hunter's Helmet (105)	207	890		372	279											828																																																	
Mathom-hunter's Helmet (105)	207	845		372	186											828																																																	
Exemplary Tough Hood of the Anórien Tree (3s):	204	=CALCSLICE("ArmMHT";B88)	=CALCSLICE("Might";B88;1,4)					=CALCSLICE("Morale";B88;1,4)																																																										Head	BeWa
Exemplary Hood of the Anórien Tree (3s):	204	=CALCSLICE("ArmMHT";B89)		=CALCSLICE("Agility";B89;1,4)				=CALCSLICE("Morale";B89;1,4)																																																										Head	BuHuWa
Anórien Combat Helm (3s):	201	=CALCSLICE("ArmMHT";B90)					=CALCSLICE("Fate";B90;1)	=CALCSLICE("Morale";B90;1,8)																																																										Head	BeBuHuWa
Helm of the Osgiliath Bowmaster	201	=CALCSLICE("ArmMHT";B91)		=CALCSLICE("Agility";B91;4)	=CALCSLICE("Vitality";B91;1)			=CALCSLICE("Morale";B91;1)						=CALCSLICE("CritHit";B91;1)																																																					
Helm of the Osgiliath Claw	201	=CALCSLICE("ArmMHT";B92)	=CALCSLICE("Might";B92;3,6)		=CALCSLICE("Vitality";B92;1,4)									=CALCSLICE("CritHit";B92;2)																																																					
Helm of the Osgiliath Fist	201	=CALCSLICE("ArmMHT";B93)		=CALCSLICE("Agility";B93;4)			=CALCSLICE("Fate";B93;1)								=CALCSLICE("Finesse";B93;1)	=CALCSLICE("PhyMas";B93;1)																																																			
Helm of the Osgiliath Gambler	201	=CALCSLICE("ArmMHT";B94)		=CALCSLICE("Agility";B94;4)			=CALCSLICE("Fate";B94;1)								=CALCSLICE("Finesse";B94;1)	=CALCSLICE("PhyMas";B94;1)																																																			
Helm of the Osgiliath Hide	201	=CALCSLICE("ArmMHT";B95)	=CALCSLICE("Might";B95;1,4)		=CALCSLICE("Vitality";B95;4)														=CALCSLICE("CritDef";B95;0,8)	=CALCSLICE("InHeal";B95;0,8)																																															
Helm of the Osgiliath Huntsman	201	=CALCSLICE("ArmMHT";B96)		=CALCSLICE("Agility";B96;4)			=CALCSLICE("Fate";B96;1)								=CALCSLICE("Finesse";B96;1)	=CALCSLICE("PhyMas";B96;1)																																																			
Helm of the Osgiliath Knife	201	=CALCSLICE("ArmMHT";B97)		=CALCSLICE("Agility";B97;4)	=CALCSLICE("Vitality";B97;1)									=CALCSLICE("CritHit";B97;1)	=CALCSLICE("Finesse";B97;1)																																																				
Helm of the Osgiliath Mischief-maker	201	=CALCSLICE("ArmMHT";B98)		=CALCSLICE("Agility";B98;4)	=CALCSLICE("Vitality";B98;1)										=CALCSLICE("Finesse";B98;1)				=CALCSLICE("CritDef";B98;1)																																																
Helm of the Osgiliath Roar	201	=CALCSLICE("ArmMHT";B99)	=CALCSLICE("Might";B99;3,6)		=CALCSLICE("Vitality";B99;1,4)									=CALCSLICE("CritHit";B99;1)			=CALCSLICE("TacMas";B99;1)																																																		
Helm of the Osgiliath Shield	201	=CALCSLICE("ArmMHT";B100)		=CALCSLICE("Agility";B100;1,4)	=CALCSLICE("Vitality";B100;4)														=CALCSLICE("CritDef";B100;0,8)	=CALCSLICE("Inheal";B100;0,8)																																															
Helm of the Osgiliath Spear	201	=CALCSLICE("ArmMHT";B101)		=CALCSLICE("Agility";B101;4)	=CALCSLICE("Vitality";B101;1)									=CALCSLICE("CritHit";B101;1)	=CALCSLICE("Finesse";B101;1)																																																				
Helm of the Osgiliath Trapper	201	=CALCSLICE("ArmMHT";B102)		=CALCSLICE("Agility";B102;4)	=CALCSLICE("Vitality";B102;1)										=CALCSLICE("Finesse";B102;1)				=CALCSLICE("CritDef";B102;1)																																																
Hood of Faramir's Faithful (5s):	201	=CALCSLICE("ArmMHT";B103)																																																																Head	BeBuHuWa
Helm of the Beacon	192	=CALCSLICE("ArmMHT";B104)		=CALCSLICE("Agility";B104;2,8)	=CALCSLICE("Vitality";B104;2,4)										=CALCSLICE("Finesse";B104;1)	=CALCSLICE("PhyMas";B104;0,8)																																																			
Hood of the Liberator	192	=CALCSLICE("ArmMHT";B105)		=CALCSLICE("Agility";B105;2,8)	=CALCSLICE("Vitality";B105;2,4)									=CALCSLICE("CritHit";B105;1)	=CALCSLICE("Finesse";B105;0,8)																																																				
Helmet of Nature's Guard	192	=CALCSLICE("ArmMHT";B106)	=CALCSLICE("Might";B106;2,8)		=CALCSLICE("Vitality";B106;2,4)										=CALCSLICE("Finesse";B106;1)	=CALCSLICE("PhyMas";B106;0,8)																																																			
Eyepatch of the Seafarer	192	=CALCSLICE("ArmMHT";B107)		=CALCSLICE("Agility";B107;2,8)	=CALCSLICE("Vitality";B107;2,4)										=CALCSLICE("Finesse";B107;1)				=CALCSLICE("CritDef";B107;0,8)																																																
Medium Nadhin Mask (4s):	192	=CALCSLICE("ArmMHT";B108)		=CALCSLICE("Agility";B108;1,4)																																																														Head	BeBuHuWa
Tirithgarab	192	=CALCSLICE("ArmMHT";B109)		=CALCSLICE("Agility";B109;2)	=CALCSLICE("Vitality";B109;2)											=CALCSLICE("PhyMas";B109;2)							=CALCSLICE("Evade";B109;1)																																												
Longthol	192	=CALCSLICE("ArmMHT";B110)		=CALCSLICE("Agility";B110;2)	=CALCSLICE("Vitality";B110;2)									=CALCSLICE("CritHit";B110;1)		=CALCSLICE("PhyMas";B110;2)																																																			
Nadhin Footman's Padded Helm (3s):	192	=CALCSLICE("ArmMHP";B111)	=CALCSLICE("Might";B111;1,4)		=CALCSLICE("Vitality";B111;0,4)																																																													Head	BeWa
Nadhin Footman's Helm (3s):	192	=CALCSLICE("ArmMHP";B112)		=CALCSLICE("Agility";B112;1,4)	=CALCSLICE("Vitality";B112;0,4)																																																													Head	BuHuWa
Nimble Ancient Assault Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B113)	=CALCSLICE("Might";B113;3,2)		=CALCSLICE("Vitality";B113;2,8)		=CALCSLICE("Fate";B113;1,6)								=CALCSLICE("Finesse";B113;0,4)																																																				
Nimble Ancient Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B114)		=CALCSLICE("Agility";B114;3,2)	=CALCSLICE("Vitality";B114;2,8)		=CALCSLICE("Fate";B114;1,6)								=CALCSLICE("Finesse";B114;0,4)																																																				
Potent Ancient Assault Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B115)	=CALCSLICE("Might";B115;3,2)		=CALCSLICE("Vitality";B115;2,8)									=CALCSLICE("CritHit";B115;1)		=CALCSLICE("PhyMas";B115;1)																																																			
Potent Ancient Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B116)		=CALCSLICE("Agility";B116;3,2)	=CALCSLICE("Vitality";B116;2,8)									=CALCSLICE("CritHit";B116;1)		=CALCSLICE("PhyMas";B116;1)																																																			
Gifted Ancient Assault Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B117)	=CALCSLICE("Might";B117;2,8)		=CALCSLICE("Vitality";B117;3,2)		=CALCSLICE("Fate";B117;1,6)												=CALCSLICE("CritDef";B117;0,4)																																																
Gifted Ancient Helm of the Onodrim	188	=CALCSLICE("ArmMHG";B118)		=CALCSLICE("Agility";B118;2,8)	=CALCSLICE("Vitality";B118;3,2)		=CALCSLICE("Fate";B118;1,6)												=CALCSLICE("CritDef";B118;0,4)																																																
Potent Assault Helm of the Onodrim	188	=CALCSLICE("ArmMHT";B119)	=CALCSLICE("Might";B119;2,8)		=CALCSLICE("Vitality";B119;2,4)									=CALCSLICE("CritHit";B119;1)		=CALCSLICE("PhyMas";B119;0,8)																																																			
Potent Helm of the Onodrim	188	=CALCSLICE("ArmMHT";B120)		=CALCSLICE("Agility";B120;2,8)	=CALCSLICE("Vitality";B120;2,4)									=CALCSLICE("CritHit";B120;1)		=CALCSLICE("PhyMas";B120;0,8)																																																			
Enduring Fangorn Assault Helm of Fate	182	=CALCSLICE("ArmMHT";B121)	=CALCSLICE("Might";B121;2,8)		=CALCSLICE("Vitality";B121;2,4)		=CALCSLICE("Fate";B121;1,6)								=CALCSLICE("Finesse";B121;0,2)																																																				
Enduring Fangorn Helm of Fate	182	=CALCSLICE("ArmMHT";B122)		=CALCSLICE("Agility";B122;2,8)	=CALCSLICE("Vitality";B122;2,4)		=CALCSLICE("Fate";B122;1,6)								=CALCSLICE("Finesse";B122;0,2)																																																				
Enduring Fangorn Assault Helm of Skill	182	=CALCSLICE("ArmMHT";B123)	=CALCSLICE("Might";B123;2,8)		=CALCSLICE("Vitality";B123;2,4)									=CALCSLICE("CritHit";B123;0,8)	=CALCSLICE("Finesse";B123;0,2)	=CALCSLICE("PhyMas";B123;0,8)																																																			
Enduring Fangorn Helm of Skill	182	=CALCSLICE("ArmMHT";B124)		=CALCSLICE("Agility";B124;2,8)	=CALCSLICE("Vitality";B124;2,4)									=CALCSLICE("CritHit";B124;0,8)	=CALCSLICE("Finesse";B124;0,2)	=CALCSLICE("PhyMas";B124;0,8)																																																			
Enduring Fangorn Assault Helm of Protection	182	=CALCSLICE("ArmMHT";B125)	=CALCSLICE("Might";B125;2,4)		=CALCSLICE("Vitality";B125;2,8)		=CALCSLICE("Fate";B125;1,6)												=CALCSLICE("CritDef";B125;0,2)																																																
Enduring Fangorn Helm of Protection	182	=CALCSLICE("ArmMHT";B126)		=CALCSLICE("Agility";B126;2,4)	=CALCSLICE("Vitality";B126;2,8)		=CALCSLICE("Fate";B126;1,6)												=CALCSLICE("CritDef";B126;0,2)																																																
