	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
- Empowered Abyssal Essence of Resistance	345																		4874											1879346984																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Tactical Mastery	345																4907													1879347039																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Tactical Mitigation	345																									7235				1879346999																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Vitality	345				619																									1879347026																																						Essence	*	115		235	3	-1			1	
- Empowered Abyssal Essence of Will	345					371																								1879346980																																						Essence	*	115		235	3	-1			1	
- Empowered Dark Essence of Agility	322			281																										1879346883																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Block	322																					5482								1879346906																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Critical Defense	322																			6113										1879346899																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Critical Rating	322													2436																1879346885																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Evasion	322																							5482						1879346897																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Fate	322						281																							1879346881																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Finesse	322														7384															1879346905																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Healing	322																	6954												1879346898																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Might	322		281																											1879346890																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Morale	322							1863																						1879346875																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Parry	322																						5482							1879346907																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Physical Mastery	322															4128														1879346876																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Physical Mitigation	322																								5483					1879346892																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Resistance	322																		3694											1879346910																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Restoration	322																				4873									1879357711																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Tactical Mastery	322																4128													1879346887																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Tactical Mitigation	322																									5483				1879346896																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Vitality	322				469																									1879346893																																						Essence	*	106		235	4	-1			1	
- Empowered Dark Essence of Will	322					281																								1879346895																																						Essence	*	106		235	4	-1			1	
- Empowered Gleaming Essence of Light	322																										10			1879357989																																						Essence	*	106		235	4	-1			0,6	-0,4
- Empowered Glowing Essence of Light	330																										16			1879360745																																						Essence	*	115		235	2	-1			0,6	-0,4
- Empowered Shadow Essence of Agility	330			313																										1879347004																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Block	330																					6091								1879346995																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Critical Defense	330																			6792										1879346993																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Critical Rating	330													2707																1879347034																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Evasion	330																							6091						1879347049																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Fate	330						313																							1879347005																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Finesse	330														8204															1879347037																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Healing	330																	7410												1879346982																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Might	330		313																											1879347036																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Morale	330							2070																						1879347009																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Parry	330																						6091							1879347041																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Physical Mastery	330															4399														1879346997																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Physical Mitigation	330																								6092					1879347048																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Resistance	330																		4104											1879346992																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Restoration	330																				5414,4									1879357716																																						Essence	*	106		235	2	-1			1	
- Empowered Shadow Essence of Tactical Mastery	330																4399													1879347015																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Tactical Mitigation	330																									6092				1879347027																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Vitality	330				522																									1879347033																																						Essence	*	115		235	2	-1			1	
- Empowered Shadow Essence of Will	330					313																								1879347042																																						Essence	*	115		235	2	-1			1	
- Expedition Gem of Agility	300			195																4245										1879351151																																						Relics	*			109	2	63			2	
- Expedition Gem of Fate	300						195													4245										1879351146																																						Relics	*			109	2	63			2	
- Expedition Gem of Might	300		195																	4245										1879351126																																						Relics	*			109	2	63			2	
- Expedition Gem of Vitality	300				326															4245										1879351158																																						Relics	*			109	2	63			2	
- Expedition Gem of Will	300					195														4245										1879351128																																						Relics	*			109	2	63			2	
- Expedition Rune of Force	300													1015		3384														1879351149																																						Relics	*			109	2	63			1,6	
- Expedition Rune of Healing	300													1015				5700												1879351156																																						Relics	*			109	2	63			1,6	
- Expedition Rune of Power	300													1015			3384													1879351110																																						Relics	*			109	2	63			1,6	
- Expedition Setting of Brutality	300													1692									2284	1523						1879351086																																						Relics	*			109	2	63			2	
- Expedition Setting of Defense	300																					3807	3807							1879351132																																						Relics	*			109	2	63			2	
- Expedition Setting of Finesse	300														5128									3807						1879351116																																						Relics	*			109	2	63			2	
- Expedition Setting of Resistance	300																		2565							3808				1879351123																																						Relics	*			109	2	63			2	
- Glowing Essence of Light	326																										14			1879357991																																						Essence	*	106		235	2	-1			0,6	-0,4
- Incomparable Vanguard Rune of Binding	330													1624																1879361270																																						Relics	*			109	2	63			0,6	
- Incomparable Vanguard Rune of Enchantment	330													1624																1879361272																																						Relics	*			109	2	63			0,6	
- Incomparable Vanguard Rune of Striking	330													1624																1879361273																																						Relics	*			109	2	63			0,6	
- Last Alliance Gem of Agility	326			297																6452										1879351130																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Fate	326						297													6452										1879351144																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Might	326		297																	6452										1879351137																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Vitality	326				495															6452										1879351138																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Will	326					297														6452										1879351139																																						Relics	*			109	2	63			2	
- Last Alliance Rune of Force	326													1543		4264														1879351129																																						Relics	*			109	2	63			1,6	
- Last Alliance Rune of Healing	326													1543				7182												1879351105																																						Relics	*			109	2	63			1,6	
- Last Alliance Rune of Power	326													1543			4264													1879351152																																						Relics	*			109	2	63			1,6	
- Last Alliance Setting of Brutality	326													2572									3472	2315						1879351160																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Defense	326																					5787	5787							1879351155																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Finesse	326														7794									5787						1879351122																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Resistance	326																		3899							5788				1879351104																																						Relics	*			109	2	63			2	
- Mordor Rune	300														9743									7233						1879351157																																						Relics	*			109	2	63			3,8	
- Mordor Rune	308														8922									6624						1879351154																																						Relics	*			109	2	63			3	
- Mordor Rune	300																		4874							7235				1879351150																																						Relics	*			109	2	63			3,8	
- Mordor Rune	300																					7233	7233							1879351148																																						Relics	*			109	2	63			3,8	
- Mordor Rune	308			340																7386										1879351147																																						Relics	*			109	2	63			3	
- Mordor Rune	308																		4463							6625				1879351145																																						Relics	*			109	2	63			3	
- Mordor Rune	300			371																8066										1879351143																																						Relics	*			109	2	63			3,8	
- Mordor Rune	308																					6624	6624							1879351142																																						Relics	*			109	2	63			3	
- Mordor Rune	308					340														7386										1879351141																																						Relics	*			109	2	63			3	
- Mordor Rune	345													1929		4907														1879351136																																						Relics	*			109	2	63			1,6	
- Mordor Rune	337													1766		4636														1879351133																																						Relics	*			109	2	63			1,6	
- Mordor Rune	300					371														8066										1879351131																																						Relics	*			109	2	63			3,8	
- Mordor Rune	345													1929				8265												1879351127																																						Relics	*			109	2	63			1,6	
- Mordor Rune	308													1766																1879351125																																						Relics	*			109	2	63			0,9	
- Mordor Rune	345													3215									4340	2893						1879351121																																						Relics	*			109	2	63			2	
- Mordor Rune	308		340																	7386										1879351119																																						Relics	*			109	2	63			3	
- Mordor Rune	308				567															7386										1879351118																																						Relics	*			109	2	63			3	
- Mordor Rune	308													2944									3975	2650						1879351115																																						Relics	*			109	2	63			3	
- Mordor Rune	300		371																	8066										1879351114																																						Relics	*			109	2	63			3,8	
- Mordor Rune	300				619															8066										1879351113																																						Relics	*			109	2	63			3,8	
- Mordor Rune	337													1766			4636													1879351112																																						Relics	*			109	2	63			1,6	
- Mordor Rune	308						340													7386										1879351106																																						Relics	*			109	2	63			3	
- Mordor Rune	300						371																							1879351103																																						Relics	*			109	2	63			1,9	
- Mordor Rune	345													1929			4907													1879351102																																						Relics	*			109	2	63			1,6	
- Rare Vanguard Rune of Binding	330													1624																1879361268																																						Relics	*			109	2	63			0,6	
- Rare Vanguard Rune of Enchantment	330													1624																1879361269																																						Relics	*			109	2	63			0,6	
- Rare Vanguard Rune of Striking	330													1624																1879361271																																						Relics	*			109	2	63			0,6	
- Shadowed Essence of Agility	326			297																										1879347038																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Block	326																					5787								1879347044																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Critical Defense	326																			6452										1879347000																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Critical Rating	326													2572																1879347024																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Evasion	326																							5787						1879346998																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Fate	326						297																							1879347023																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Finesse	326														7794															1879346988																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Healing	326																	7182												1879347050																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Might	326		297																											1879347043																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Morale	326							1966																						1879347006																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Parry	326																						5787							1879347035																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Physical Mastery	326															4264														1879346985																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Physical Mitigation	326																								5788					1879347014																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Resistance	326																		3899											1879347010																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Restoration	326																				5143,7									1879357713																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Tactical Mastery	326																4264													1879347025																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Tactical Mitigation	326																									5788				1879347007																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Vitality	326				495																									1879347047																																						Essence	*	106		235	2	-1			1	
- Shadowed Essence of Will	326					297																								1879347020																																						Essence	*	106		235	2	-1			1	
- Vanguard Gem of Agility	330			313																6792										1879351107																																						Relics	*			109	2	63			2	
- Vanguard Gem of Fate	330						313													6792										1879351124																																						Relics	*			109	2	63			2	
- Vanguard Gem of Might	330		313																	6792										1879351135																																						Relics	*			109	2	63			2	
- Vanguard Gem of Vitality	330				522															6792										1879351134																																						Relics	*			109	2	63			2	
- Vanguard Gem of Will	330					313														6792										1879351159																																						Relics	*			109	2	63			2	
- Vanguard Rune of Force	330													1624		4399														1879351117																																						Relics	*			109	2	63			2	
- Vanguard Rune of Healing	330													1624				7410												1879351108																																						Relics	*			109	2	63			2	
- Vanguard Rune of Power	330													1624			4399													1879351153																																						Relics	*			109	2	63			2	
- Vanguard Setting of Brutality	330													2707									3655	2436						1879351140																																						Relics	*			109	2	63			2	
- Vanguard Setting of Defense	330																					6091	6091							1879351109																																						Relics	*			109	2	63			2	
- Vanguard Setting of Finesse	330														8204									6091						1879351120																																						Relics	*			109	2	63			2	
- Vanguard Setting of Resistance	330																		4104							6092				1879351111																																						Relics	*			109	2	63			2	
Aegis of the Last Alliance	326	6566			793	416												10055		5162		5208								1879347826																																						Shield	Mi	106		33	4	6			6,1	
Aegis of the Towers	326	6566			595	535											5969			5162		5208								1879347831																																						Shield	Mi	106		33	4	6			6,1	
Agile Cloak of Enduring Grace (1s):	326	5198		535	793															6452				5787			10			1879354769																																						Back	BuHuWa	106		45	3	0		1	7	
Agile Cloak of Good Company (1s):	326	5198		535	793															6452				5787			10			1879354783																																						Back	BuHuWa	106		45	3	0		1	7	
Agile Cloak of the Hope of Men (1s):	326	5198		535	793															6452				5787			10			1879354782																																						Back	BuHuWa	106		45	3	0		1	7	
Agile Cloak of the Strength of Dwarves (1s):	326	5198		535	793															6452				5787			10			1879354792																																						Back	BuHuWa	106		45	3	0		1	7	
Agile Club of Expedition's Vanguard	330			626	730									2707	9845												4			1879352740																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Club of Mordor's Bane	330			626	835															6792			6091				4			1879352620																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Club of the Alliance Renewed	326			595	793															6452			5787				4			1879354120																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Club of the Doomfold	326			595	694									2572	9353												4			1879354122																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Club of the Last Alliance	326			595	793															6452			5787				4			1879352602																																						Melee	BuHuWa	106		40	2	10			6,2	
Agile Club of the Pathfinder's Artifice	333			649	758									2809	10214												4			1879360502																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Club of the Towers	326			595	694									2572	9353												4			1879352449																																						Melee	BuHuWa	106		40	2	10			6,2	
Agile Club of the Vanguard's Bearing	333			649	866															7047			6320				4			1879360402																																						Melee	BuHuWa	115		40	2	10			6,2	
Agile Leggings of Mordor's Bane (1s):	330	10238		563	835															6792				6091			14			1879361033																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Leggings of T3 DPS (1s):	345	13509		743	867		446							2572													20			1879347559																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Leggings of T3 SUPPORT (1s):	345	13509		669	991															8066				7233			20			1879347614																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Leggings of the Abyss (1s):	337	11134		613	908															7386				6624			18			1879350226																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Leggings of the Ancients (1s):	300	7110		391	456		234							1354													10			1879358246																																						Legs	BuHuWa	106		15	3	3		1	7	
Agile Leggings of the Expedition's Vanguard (1s):	330	10238		626	730		375							2166													14			1879361106																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Leggings of the Fallen Kings (1s):	300	7110		352	522															4245				3807			10			1879358227																																						Legs	BuHuWa	106		15	3	3		1	7	
Agile Leggings of the Last Alliance (1s):	326	10807		535	793															6452				5787			10			1879347962																																						Legs	BuHuWa	112		15	3	3		1	7	
Agile Leggings of the Towers (1s):	326	10807		595	694		357							2057													10			1879348008																																						Legs	BuHuWa	112		15	3	3		1	7	
Agile Leggings of the Wyrm (1s):	337	11134		681	794		408							2355													18			1879349968																																						Legs	BuHuWa	115		15	3	3		1	7	
Agile Ring of Enduring Grace	326			595	991														4679					6944			10			1879354793																																						Fingers	BuHuWa	106		49	3	11			7	
Agile Ring of Good Company	326			595	991														4679					6944			10			1879354806																																						Fingers	BuHuWa	106		49	3	11			7	
Agile Ring of the Hope of Men	326			595	991														4679					6944			10			1879354808																																						Fingers	BuHuWa	106		49	3	11			7	
Agile Ring of the Strength of Dwarves	326			595	991														4679					6944			10			1879354795																																						Fingers	BuHuWa	106		49	3	11			7	
Agile Silver Armlet of the Alliance Renewed	323			571	762														3745					5558			10			1879354031																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Armlet of the Doomfold	323			571	666		400									3330											10			1879354041																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Armlet of the Faded Age	323			514	571		342							1976													8			1879356936																																						Wrists	BuHuWa	115		49	4	2			5,6	
Agile Silver Armlet of the Old Kingdom	323			514	666														3745					4447			8			1879356850																																						Wrists	BuHuWa	115		49	4	2			5,6	
Agile Silver Bracelet of Mordor's Bane	330			626	835														4104					6091			12			1879361824																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of T3 DPS	345			743	867		520									3925											18			1879347689																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of T3 SUPPORT	345			743	991														4874					7233			18			1879347709																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of the Abyss	337			681	908														4463					6624			16			1879349687																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of the Ancients	300			391	456		274									2707											10			1879358186																																						Wrists	BuHuWa	106		49	2	2			6,2	
Agile Silver Bracelet of the Expedition's Vanguard	330			626	730		438									3519											12			1879361885																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of the Fallen Kings	300			391	522														2565					3807			10			1879358167																																						Wrists	BuHuWa	106		49	2	2			6,2	
Agile Silver Bracelet of the Last Alliance	326			595	793														3899					5787			10			1879348140																																						Wrists	BuHuWa	112		49	2	2			6,2	
Agile Silver Bracelet of the Pathfinder's Artifice	333			649	758		454									3601											16			1879360246																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of the Towers	326			595	694		416									3411											10			1879348018																																						Wrists	BuHuWa	112		49	2	2			6,2	
Agile Silver Bracelet of the Vanguard's Bearing	333			649	866														4258					6320			16			1879360269																																						Wrists	BuHuWa	115		49	2	2			6,2	
Agile Silver Bracelet of the Wyrm	337			681	794		476									3709											16			1879349591																																						Wrists	BuHuWa	115		49	2	2			6,2	
Alloyed Gold Bracer of Mordor's Bane	330		563		1148																		7309	7309			14			1879362218																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Gold Bracer of T3 DPS	345		818		991									3215	15588												20			1879347638																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Gold Bracer of T3 SUPPORT	345		669		1363																		8680	8680			20			1879347646																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Gold Bracer of the Abyss	337		613		1248																		7949	7949			18			1879349763																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Gold Bracer of the Ancients	300		430		522									1692	8204												10			1879358187																																						Wrists	BeCaChGu	106		49	3	2			7	
Alloyed Gold Bracer of the Expedition's Vanguard	330		689		835									2707	13127												14			1879362216																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Gold Bracer of the Fallen Kings	300		352		717																		4568	4568			10			1879358162																																						Wrists	BeCaChGu	106		49	3	2			7	
Alloyed Gold Bracer of the Last Alliance	326		535		1090																		6944	6944			10			1879348128																																						Wrists	BeCaChGu	112		49	3	2			7	
Alloyed Gold Bracer of the Towers	326		654		793									2572	12471												10			1879348192																																						Wrists	BeCaChGu	112		49	3	2			7	
Alloyed Gold Bracer of the Wyrm	337		749		908									2944	14276												18			1879349577																																						Wrists	BeCaChGu	115		49	3	2			7	
Alloyed Hammer of Mordor's Bane	330			563	1044		313																	9746			4			1879352506																																						Melee	HuWa	115		24	3	4			7	
Alloyed Hammer of the Expedition's Vanguard	330			689	835									4332	8204												4			1879352637																																						Melee	HuWa	115		24	3	4			7	
Alloyed Hammer of the Last Alliance	326			535	991		297																	9259			4			1879352688																																						Melee	HuWa	106		24	3	4			7	
Alloyed Hammer of the Towers	326			654	793									4115	7794												4			1879352655																																						Melee	HuWa	106		24	3	4			7	
Alloyed Mallet of Mordor's Bane	330		563		1044		313																	9746			4			1879352753																																						Melee	CaChGu	115		24	3	4			7	
Alloyed Mallet of the Expedition's Vanguard	330		689		835									4332	8204												4			1879352510																																						Melee	CaChGu	115		24	3	4			7	
Alloyed Mallet of the Last Alliance	326		535		991		297																	9259			4			1879352717																																						Melee	CaChGu	106		24	3	4			7	
Alloyed Mallet of the Towers	326		654		793									4115	7794												4			1879352410																																						Melee	CaChGu	106		24	3	4			7	
Alloyed War Hammer of Mordor's Bane	330		563		1044		313													10867							4			1879352415																																						Melee	CaChGu	115		24	3	4			7	
Alloyed War Hammer of the Expedition's Vanguard	330		689		835									4332	8204												4			1879352782																																						Melee	CaChGu	115		24	3	4			7	
Alloyed War Hammer of the Last Alliance	326		535		991		297													10324							4			1879352549																																						Melee	CaChGu	106		24	3	4			7	
Alloyed War Hammer of the Towers	326		654		793									4115	7794												4			1879352771																																						Melee	CaChGu	106		24	3	4			7	
Ambusher's Boots (4s):	222	1201		80				391																						1879357510																																						Feet	Bu	105		23	3	3	4	4	7	
Ambusher's Gloves (4s):	222	1501		80				391																						1879357480																																						Hands	Bu	105		5	3	3	4	4	7	
Ambusher's Helm (4s):	222	901		80				391																						1879357501																																						Head	Bu	105		7	3	3	4	4	7	
Ambusher's Jacket (4s):	222	3002		80				391																						1879357550																																						Chest	Bu	105		3	3	3	4	4	7	
Ambusher's Leggings (4s):	222	2496		80				391																						1879357557																																						Legs	Bu	105		15	3	3	4	4	7	
Ambusher's Shoulders (4s):	222	901		80				391																						1879357490																																						Shoulders	Bu	105		6	3	3	4	4	7	
Amethyst Iron Earring of Mordor's Bane	330		626		1148		313													8150							14			1879362204																																						Ears	BeCaChGu	115		49	3	5			7	
Amethyst Iron Earring of T3 DPS	345		818		991									3215		7851											20			1879347743																																						Ears	BeCaChGu	115		49	3	5			7	
Amethyst Iron Earring of T3 SUPPORT	345		743		1363		371													9679							20			1879347690																																						Ears	BeCaChGu	115		49	3	5			7	
Amethyst Iron Earring of the Abyss	337		681		1248		340													8864							18			1879349558																																						Ears	BeCaChGu	115		49	3	5			7	
Amethyst Iron Earring of the Ancients	300		430		522									1692		5414											10			1879358125																																						Ears	BeCaChGu	106		49	3	5			7	
Amethyst Iron Earring of the Expedition's Vanguard	330		689		835									2707		7039											14			1879362196																																						Ears	BeCaChGu	115		49	3	5			7	
Amethyst Iron Earring of the Fallen Kings	300		391		717		195													5094							10			1879358098																																						Ears	BeCaChGu	106		49	3	5			7	
