	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Armour of the Storm-bringer set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A12;CHERCHE("Equipped";A12)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B12;2)																																																																
#Armour of the Unwavering Charge set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A13;CHERCHE("Equipped";A13)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B13;2)																																																																
#Armour of the Unyielding Defender set bonus: 5 Equipped	222		=CHOISIR(CNUM(STXT(A14;CHERCHE("Equipped";A14)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Might";B14;2)																																																																
#Armour of a Captain's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A15;CHERCHE("Equipped";A15)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Champion's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A16;CHERCHE("Equipped";A16)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Guardian's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A17;CHERCHE("Equipped";A17)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Pelennor Armour of the Rampart set bonus: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A18;CHERCHE("Equipped";A18)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
#Pelennor Battle-commander's Armour set bonus: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A19;CHERCHE("Equipped";A19)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
#Pelennor Orc-carver's Armour set bonus: 4 Equipped	222																																							=CHOISIR(CNUM(STXT(A20;CHERCHE("Equipped";A20)-2;1))+1;0;0;1;1;1;1;1)*0,1																											
#Deeping-rift set bonus: 6 Equipped	192		=CHOISIR(CNUM(STXT(A21;CHERCHE("Equipped";A21)-2;1))+1;0;0;1;1;2;2;3)*CALCSLICE("Might";B21;1)													=CHOISIR(CNUM(STXT(A21;CHERCHE("Equipped";A21)-2;1))+1;0;0;0;1;1;1;2)*CALCSLICE("PhyMas";B21;1)		=CHOISIR(CNUM(STXT(A21;CHERCHE("Equipped";A21)-2;1))+1;0;0;0;0;0;1;1)*CALCSLICE("Resist";B21;1)																																																	
#Wall's End set bonus: 6 Equipped	192				=CHOISIR(CNUM(STXT(A22;CHERCHE("Equipped";A22)-2;1))+1;0;0;1;1;2;3;4)*CALCSLICE("Vitality";B22;1)											=CHOISIR(CNUM(STXT(A22;CHERCHE("Equipped";A22)-2;1))+1;0;0;0;1;1;1;2)*CALCSLICE("PhyMas";B22;1)																																																			
Head																																																																			
Honed Blade's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B24)	=CALCSLICE("Might";B24;0,8)					=CALCSLICE("Morale";B24;0,6)																																																										Head	Gu
Martial Defender's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B25)	=CALCSLICE("Might";B25;0,8)					=CALCSLICE("Morale";B25;0,6)																																																										Head	Ch
Resolute Leader's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B26)	=CALCSLICE("Might";B26;0,8)					=CALCSLICE("Morale";B26;0,6)																																																										Head	Ca
Shadow-bane's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B27)	=CALCSLICE("Might";B27;0,8)					=CALCSLICE("Morale";B27;0,6)																																																										Head	Gu
Siege-breaker's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B28)	=CALCSLICE("Might";B28;0,8)					=CALCSLICE("Morale";B28;0,6)																																																										Head	Ch
Steadfast Renewer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B29)	=CALCSLICE("Might";B29;0,8)					=CALCSLICE("Morale";B29;0,6)																																																										Head	Ca
Storm-bringer's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B30)	=CALCSLICE("Might";B30;0,8)					=CALCSLICE("Morale";B30;0,6)																																																										Head	Ch
Unwavering Charger's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B31)	=CALCSLICE("Might";B31;0,8)					=CALCSLICE("Morale";B31;0,6)																																																										Head	Ca
Unyielding Defender's Helm of the Morannon (4s):	282	=CALCSLICE("ArmHHT";B32)	=CALCSLICE("Might";B32;0,8)					=CALCSLICE("Morale";B32;0,6)																																																										Head	Gu
Supreme Helm of the Honed Blade (4s):	258	=CALCSLICE("ArmHHT";B33)	=CALCSLICE("Might";B33;0,8)					=CALCSLICE("Morale";B33;0,6)																																																										Head	Gu
Supreme Helm of the Martial Defender (4s):	258	=CALCSLICE("ArmHHT";B34)	=CALCSLICE("Might";B34;0,8)					=CALCSLICE("Morale";B34;0,6)																																																										Head	Ch
Supreme Helm of the Resolute Leader (4s):	258	=CALCSLICE("ArmHHT";B35)	=CALCSLICE("Might";B35;0,8)					=CALCSLICE("Morale";B35;0,6)																																																										Head	Ca
Supreme Helm of the Shadow-bane (4s):	258	=CALCSLICE("ArmHHT";B36)	=CALCSLICE("Might";B36;0,8)					=CALCSLICE("Morale";B36;0,6)																																																										Head	Gu
Supreme Helm of the Siege-breaker (4s):	258	=CALCSLICE("ArmHHT";B37)	=CALCSLICE("Might";B37;0,8)					=CALCSLICE("Morale";B37;0,6)																																																										Head	Ch
Supreme Helm of the Steadfast Renewer (4s):	258	=CALCSLICE("ArmHHT";B38)	=CALCSLICE("Might";B38;0,8)					=CALCSLICE("Morale";B38;0,6)																																																										Head	Ca
Supreme Helm of the Storm-bringer (4s):	258	=CALCSLICE("ArmHHT";B39)	=CALCSLICE("Might";B39;0,8)					=CALCSLICE("Morale";B39;0,6)																																																										Head	Ch
Supreme Helm of the Unwavering Charge (4s):	258	=CALCSLICE("ArmHHT";B40)	=CALCSLICE("Might";B40;0,8)					=CALCSLICE("Morale";B40;0,6)																																																										Head	Ca
Supreme Helm of the Unyielding Defender (4s):	258	=CALCSLICE("ArmHHT";B41)	=CALCSLICE("Might";B41;0,8)					=CALCSLICE("Morale";B41;0,6)																																																										Head	Gu
Lacquered Helm of the Ithilien Captain (4s):	246	=CALCSLICE("ArmHHT";B42)	=CALCSLICE("Might";B42;0,8)					=CALCSLICE("Morale";B42;0,6)																																																										Head	CaChGu
Greater Helm of the Honed Blade (4s):	234	=CALCSLICE("ArmHHT";B43)	=CALCSLICE("Might";B43;0,8)					=CALCSLICE("Morale";B43;0,6)																																																										Head	Gu
Greater Helm of the Martial Defender (4s):	234	=CALCSLICE("ArmHHT";B44)	=CALCSLICE("Might";B44;0,8)					=CALCSLICE("Morale";B44;0,6)																																																										Head	Ch
Greater Helm of the Resolute Leader (4s):	234	=CALCSLICE("ArmHHT";B45)	=CALCSLICE("Might";B45;0,8)					=CALCSLICE("Morale";B45;0,6)																																																										Head	Ca
Greater Helm of the Shadow-bane (4s):	234	=CALCSLICE("ArmHHT";B46)	=CALCSLICE("Might";B46;0,8)					=CALCSLICE("Morale";B46;0,6)																																																										Head	Gu
Greater Helm of the Siege-breaker (4s):	234	=CALCSLICE("ArmHHT";B47)	=CALCSLICE("Might";B47;0,8)					=CALCSLICE("Morale";B47;0,6)																																																										Head	Ch
Greater Helm of the Steadfast Renewer (4s):	234	=CALCSLICE("ArmHHT";B48)	=CALCSLICE("Might";B48;0,8)					=CALCSLICE("Morale";B48;0,6)																																																										Head	Ca
Greater Helm of the Storm-bringer (4s):	234	=CALCSLICE("ArmHHT";B49)	=CALCSLICE("Might";B49;0,8)					=CALCSLICE("Morale";B49;0,6)																																																										Head	Ch
Greater Helm of the Unwavering Charge (4s):	234	=CALCSLICE("ArmHHT";B50)	=CALCSLICE("Might";B50;0,8)					=CALCSLICE("Morale";B50;0,6)																																																										Head	Ca
Greater Helm of the Unyielding Defender (4s):	234	=CALCSLICE("ArmHHT";B51)	=CALCSLICE("Might";B51;0,8)					=CALCSLICE("Morale";B51;0,6)																																																										Head	Gu
Helm of the Honed Blade (4s):	222	=CALCSLICE("ArmHHT";B52)	=CALCSLICE("Might";B52;0,8)					=CALCSLICE("Morale";B52;0,6)																																																										Head	Gu
Helm of the Martial Defender (4s):	222	=CALCSLICE("ArmHHT";B53)	=CALCSLICE("Might";B53;0,8)					=CALCSLICE("Morale";B53;0,6)																																																										Head	Ch
Helm of the Resolute Leader (4s):	222	=CALCSLICE("ArmHHT";B54)	=CALCSLICE("Might";B54;0,8)					=CALCSLICE("Morale";B54;0,6)																																																										Head	Ca
Helm of the Shadow-bane (4s):	222	=CALCSLICE("ArmHHT";B55)	=CALCSLICE("Might";B55;0,8)					=CALCSLICE("Morale";B55;0,6)																																																										Head	Gu
Helm of the Siege-breaker (4s):	222	=CALCSLICE("ArmHHT";B56)	=CALCSLICE("Might";B56;0,8)					=CALCSLICE("Morale";B56;0,6)																																																										Head	Ch
Helm of the Steadfast Renewer (4s):	222	=CALCSLICE("ArmHHT";B57)	=CALCSLICE("Might";B57;0,8)					=CALCSLICE("Morale";B57;0,6)																																																										Head	Ca
Helm of the Storm-bringer (4s):	222	=CALCSLICE("ArmHHT";B58)	=CALCSLICE("Might";B58;0,8)					=CALCSLICE("Morale";B58;0,6)																																																										Head	Ch
Helm of the Unwavering Charge (4s):	222	=CALCSLICE("ArmHHT";B59)	=CALCSLICE("Might";B59;0,8)					=CALCSLICE("Morale";B59;0,6)																																																										Head	Ca
Helm of the Unyielding Defender (4s):	222	=CALCSLICE("ArmHHT";B60)	=CALCSLICE("Might";B60;0,8)					=CALCSLICE("Morale";B60;0,6)																																																										Head	Gu
Battle-commander's Helm (4s):	222	=CALCSLICE("ArmHHT";B61)	=CALCSLICE("Might";B61;0,8)					=CALCSLICE("Morale";B61;0,6)																																																										Head	Ca
Helm of the Rampart (4s):	222	=CALCSLICE("ArmHHT";B62)	=CALCSLICE("Might";B62;0,8)					=CALCSLICE("Morale";B62;0,6)																																																										Head	Gu
Orc-carver's Helm (4s):	222	=CALCSLICE("ArmHHT";B63)	=CALCSLICE("Might";B63;0,8)					=CALCSLICE("Morale";B63;0,6)																																																										Head	Ch
Ancient Helm of the Gloom-bane (2s):	222	=CALCSLICE("ArmHHT";B64)	=CALCSLICE("Might";B64;2)					=CALCSLICE("Morale";B64;1)															=CALCSLICE("Evade";B64;0,4)	=CALCSLICE("PhyMit";B64;0,8)																																										Head	Ch
Ancient Helm of the North Star (2s):	222	=CALCSLICE("ArmHHT";B65)	=CALCSLICE("Might";B65;2)					=CALCSLICE("Morale";B65;1)															=CALCSLICE("Evade";B65;0,4)	=CALCSLICE("PhyMit";B65;0,8)																																										Head	Ca
Ancient Rift-defender's Helm (2s):	222	=CALCSLICE("ArmHHT";B66)	=CALCSLICE("Might";B66;2)					=CALCSLICE("Morale";B66;1)													=CALCSLICE("Block";B66;0,4)			=CALCSLICE("PhyMit";B66;0,8)																																										Head	Gu
Fine Mathom-hunter's Helm (105)	207	1145	372		279											828																																																	
Mathom-hunter's Helm (105)	207	1088	372		186											828																																																	
Exemplary Helmet of the Anórien Fields (3s):	204	=CALCSLICE("ArmHHT";B69)	=CALCSLICE("Might";B69;1,4)					=CALCSLICE("Morale";B69;1,4)																																																										Head	CaChGu
Anórien War Helmet (3s):	201	=CALCSLICE("ArmHHT";B70)					=CALCSLICE("Fate";B70;1)	=CALCSLICE("Morale";B70;1,8)																																																										Head	CaChGu
Helm of the Osgiliath Berserker	201	=CALCSLICE("ArmHHT";B71)	=CALCSLICE("Might";B71;4)		=CALCSLICE("Vitality";B71;1)									=CALCSLICE("CritHit";B71;2)																																																					
Helm of the Osgiliath Blade	201	=CALCSLICE("ArmHHT";B72)	=CALCSLICE("Might";B72;4)		=CALCSLICE("Vitality";B72;1)									=CALCSLICE("CritHit";B72;2)																																																					
Helm of the Osgiliath Champion	201	=CALCSLICE("ArmHHT";B73)	=CALCSLICE("Might";B73;1,4)		=CALCSLICE("Vitality";B73;4)														=CALCSLICE("CritDef";B73;0,8)	=CALCSLICE("InHeal";B73;0,8)																																															
Helm of the Osgiliath Charge	201	=CALCSLICE("ArmHHT";B74)	=CALCSLICE("Might";B74;4)		=CALCSLICE("Vitality";B74;1)									=CALCSLICE("CritHit";B74;1)	=CALCSLICE("Finesse";B74;1)																																																				
Helm of the Osgiliath Defender	201	=CALCSLICE("ArmHHT";B75)	=CALCSLICE("Might";B75;1,4)		=CALCSLICE("Vitality";B75;4)															=CALCSLICE("InHeal";B75;0,8)		=CALCSLICE("Parry";B75;0,8)																																													
Helm of the Osgiliath Healer	201	=CALCSLICE("ArmHHT";B76)	=CALCSLICE("Might";B76;4)		=CALCSLICE("Vitality";B76;1)		=CALCSLICE("Fate";B76;1)							=CALCSLICE("CritHit";B76;1)																																																					
Helm of the Osgiliath Leader	201	=CALCSLICE("ArmHHT";B77)	=CALCSLICE("Might";B77;1,4)		=CALCSLICE("Vitality";B77;4)														=CALCSLICE("CritDef";B77;0,8)	=CALCSLICE("InHeal";B77;0,8)																																															
Helm of the Osgiliath Shadow-fighter	201	=CALCSLICE("ArmHHT";B78)	=CALCSLICE("Might";B78;1,4)		=CALCSLICE("Vitality";B78;4)														=CALCSLICE("CritDef";B78;0,8)	=CALCSLICE("InHeal";B78;0,8)																																															
Helm of the Osgiliath Storm	201	=CALCSLICE("ArmHHT";B79)	=CALCSLICE("Might";B79;4)				=CALCSLICE("Fate";B79;1)								=CALCSLICE("Finesse";B79;1)	=CALCSLICE("PhyMas";B79;1)																																																			
Helm of Faramir's Faithful (5s):	201	=CALCSLICE("ArmHHT";B80)																																																																Head	CaChGu
Helmet of the Coastal Bulwark	192	=CALCSLICE("ArmHHT";B81)	=CALCSLICE("Might";B81;2,8)		=CALCSLICE("Vitality";B81;2,4)															=CALCSLICE("InHeal";B81;1)		=CALCSLICE("Parry";B81;0,8)																																													
Helmet of the Sea Reaver	192	=CALCSLICE("ArmHHT";B82)	=CALCSLICE("Might";B82;2,8)		=CALCSLICE("Vitality";B82;2,4)									=CALCSLICE("CritHit";B82;1)	=CALCSLICE("Finesse";B82;0,8)																																																				
Helmet of the Watchman	192	=CALCSLICE("ArmHHT";B83)	=CALCSLICE("Might";B83;2,8)		=CALCSLICE("Vitality";B83;2,4)									=CALCSLICE("CritHit";B83;1)	=CALCSLICE("Finesse";B83;0,8)																																																				
Heavy Nadhin Mask (4s):	192	=CALCSLICE("ArmHHT";B84)	=CALCSLICE("Might";B84;1,4)																																																															Head	CaChGu
Heronthol	192	=CALCSLICE("ArmHHT";B85)	=CALCSLICE("Might";B85;4)													=CALCSLICE("PhyMas";B85;2)							=CALCSLICE("Evade";B85;2)																																												
Aranhar	192	=CALCSLICE("ArmHHT";B86)	=CALCSLICE("Might";B86;2)		=CALCSLICE("Vitality";B86;2)									=CALCSLICE("CritHit";B86;2)									=CALCSLICE("Evade";B86;1)																																												
Helmet of Hope Rekindled	192	=CALCSLICE("ArmHHT";B87)	=CALCSLICE("Might";B87;2,8)		=CALCSLICE("Vitality";B87;2,4)		=CALCSLICE("Fate";B87;1,2)								=CALCSLICE("Finesse";B87;0,6)																																																				
Greater Valourous Helmet of Prowess	192	=CALCSLICE("ArmHHT";B88)	=CALCSLICE("Might";B88;2,8)		=CALCSLICE("Vitality";B88;2,4)									=CALCSLICE("CritHit";B88;0,4)	=CALCSLICE("Finesse";B88;0,6)	=CALCSLICE("PhyMas";B88;0,8)																																																			
Nadhin Footman's Helm (3s):	192	=CALCSLICE("ArmHHP";B89)	=CALCSLICE("Might";B89;1,4)		=CALCSLICE("Vitality";B89;0,4)																																																													Head	CaChGu
Commanding Ancient Helmet of the Onodrim	188	=CALCSLICE("ArmHHG";B90)	=CALCSLICE("Might";B90;3,2)		=CALCSLICE("Vitality";B90;2,8)		=CALCSLICE("Fate";B90;1,6)								=CALCSLICE("Finesse";B90;0,4)																																																				
Strong Ancient Helmet of the Onodrim	188	=CALCSLICE("ArmHHG";B91)	=CALCSLICE("Might";B91;3,2)		=CALCSLICE("Vitality";B91;2,8)									=CALCSLICE("CritHit";B91;1)		=CALCSLICE("PhyMas";B91;1)																																																			
Protective Ancient Helmet of the Onodrim	188	=CALCSLICE("ArmHHG";B92)	=CALCSLICE("Might";B92;2,8)		=CALCSLICE("Vitality";B92;3,2)		=CALCSLICE("Fate";B92;1,6)												=CALCSLICE("CritDef";B92;0,4)																																																
Commanding Helmet of the Onodrim	188	=CALCSLICE("ArmHHT";B93)	=CALCSLICE("Might";B93;2,8)		=CALCSLICE("Vitality";B93;2,4)		=CALCSLICE("Fate";B93;1,6)								=CALCSLICE("Finesse";B93;0,2)																																																				
Strong Helmet of the Onodrim	188	=CALCSLICE("ArmHHT";B94)	=CALCSLICE("Might";B94;2,8)		=CALCSLICE("Vitality";B94;2,4)									=CALCSLICE("CritHit";B94;1)		=CALCSLICE("PhyMas";B94;0,8)																																																			
Protective Helmet of the Onodrim	188	=CALCSLICE("ArmHHT";B95)	=CALCSLICE("Might";B95;2,4)		=CALCSLICE("Vitality";B95;2,8)		=CALCSLICE("Fate";B95;1,6)												=CALCSLICE("CritDef";B95;0,2)																																																
Potent Fangorn Helmet of Valour	182	=CALCSLICE("ArmHHT";B96)	=CALCSLICE("Might";B96;2,8)		=CALCSLICE("Vitality";B96;2,4)		=CALCSLICE("Fate";B96;1,6)									=CALCSLICE("PhyMas";B96;0,2)																																																			
Potent Fangorn Helmet of Command	182	=CALCSLICE("ArmHHT";B97)	=CALCSLICE("Might";B97;2,8)		=CALCSLICE("Vitality";B97;2,4)		=CALCSLICE("Fate";B97;1,6)							=CALCSLICE("CritHit";B97;0,2)																																																					
Potent Fangorn Helmet of Defence	182	=CALCSLICE("ArmHHT";B98)	=CALCSLICE("Might";B98;2,4)		=CALCSLICE("Vitality";B98;2,8)		=CALCSLICE("Fate";B98;1,6)												=CALCSLICE("CritDef";B98;0,2)																																																
Valiant War Helmet of the Deep	176	=CALCSLICE("ArmHHT";B99)	=CALCSLICE("Might";B99;2,8)		=CALCSLICE("Vitality";B99;2,4)		=CALCSLICE("Fate";B99;1,6)								=CALCSLICE("Finesse";B99;0,2)																																																				
Forceful War Helmet of the Deep	176	=CALCSLICE("ArmHHT";B100)	=CALCSLICE("Might";B100;2,8)		=CALCSLICE("Vitality";B100;2,4)		=CALCSLICE("Fate";B100;1)								=CALCSLICE("Finesse";B100;0,2)	=CALCSLICE("PhyMas";B100;0,6)																																																			
Commanding War Helmet of the Deep	176	=CALCSLICE("ArmHHT";B101)	=CALCSLICE("Might";B101;2,8)		=CALCSLICE("Vitality";B101;2,4)									=CALCSLICE("CritHit";B101;0,8)	=CALCSLICE("Finesse";B101;0,2)	=CALCSLICE("PhyMas";B101;0,8)																																																			
Defensive War Helmet of the Deep	176	=CALCSLICE("ArmHHT";B102)	=CALCSLICE("Might";B102;2,4)		=CALCSLICE("Vitality";B102;2,8)		=CALCSLICE("Fate";B102;1)												=CALCSLICE("CritDef";B102;0,8)																																																
Greater Enduring Helm of Protection	176	=CALCSLICE("ArmHHT";B103)	=CALCSLICE("Might";B103;2,4)		=CALCSLICE("Vitality";B103;2,8)														=CALCSLICE("CritDef";B103;0,8)			=CALCSLICE("Parry";B103;0,4)	=CALCSLICE("Evade";B103;0,6)																																												
Honour of Helm's Deep	176	=CALCSLICE("ArmHHT";B104)	=CALCSLICE("Might";B104;2,4)		=CALCSLICE("Vitality";B104;2,8)																	=CALCSLICE("Parry";B104;0,6)	=CALCSLICE("Evade";B104;1,2)																																												
Stalwart War Helmet of the Deep	176	=CALCSLICE("ArmHHT";B105)	=CALCSLICE("Might";B105;2,4)		=CALCSLICE("Vitality";B105;2,8)														=CALCSLICE("CritDef";B105;0,2)			=CALCSLICE("Parry";B105;0,8)	=CALCSLICE("Evade";B105;0,8)																																												
Helm of the Ancient Flame	176	=CALCSLICE("ArmHHT";B106)	=CALCSLICE("Might";B106;2,4)		=CALCSLICE("Vitality";B106;2,8)														=CALCSLICE("CritDef";B106;0,6)			=CALCSLICE("Parry";B106;0,8)	=CALCSLICE("Evade";B106;0,4)																																												
Nadhin Footman's Helm (3s):	176	=CALCSLICE("ArmHHP";B107)	=CALCSLICE("Might";B107;1,4)		=CALCSLICE("Vitality";B107;0,4)																																																														
Shoulders																																																																			
Honed Blade's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B109)	=CALCSLICE("Might";B109;0,8)					=CALCSLICE("Morale";B109;0,6)																																																										Shoulders	Gu
Martial Defender's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B110)	=CALCSLICE("Might";B110;0,8)					=CALCSLICE("Morale";B110;0,6)																																																										Shoulders	Ch
Resolute Leader's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B111)	=CALCSLICE("Might";B111;0,8)					=CALCSLICE("Morale";B111;0,6)																																																										Shoulders	Ca
Shadow-bane's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B112)	=CALCSLICE("Might";B112;0,8)					=CALCSLICE("Morale";B112;0,6)																																																										Shoulders	Gu
Siege-breaker's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B113)	=CALCSLICE("Might";B113;0,8)					=CALCSLICE("Morale";B113;0,6)																																																										Shoulders	Ch
Steadfast Renewer's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B114)	=CALCSLICE("Might";B114;0,8)					=CALCSLICE("Morale";B114;0,6)																																																										Shoulders	Ca
Storm-bringer's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B115)	=CALCSLICE("Might";B115;0,8)					=CALCSLICE("Morale";B115;0,6)																																																										Shoulders	Ch
Unwavering Charger's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B116)	=CALCSLICE("Might";B116;0,8)					=CALCSLICE("Morale";B116;0,6)																																																										Shoulders	Ca
Unyielding Defender's Pauldrons of the Morannon (4s):	282	=CALCSLICE("ArmHST";B117)	=CALCSLICE("Might";B117;0,8)					=CALCSLICE("Morale";B117;0,6)																																																										Shoulders	Gu
Supreme Pauldrons of the Honed Blade (4s):	258	=CALCSLICE("ArmHST";B118)	=CALCSLICE("Might";B118;0,8)					=CALCSLICE("Morale";B118;0,6)																																																										Shoulders	Gu
Supreme Pauldrons of the Martial Defender (4s):	258	=CALCSLICE("ArmHST";B119)	=CALCSLICE("Might";B119;0,8)					=CALCSLICE("Morale";B119;0,6)																																																										Shoulders	Ch
Supreme Pauldrons of the Resolute Leader (4s):	258	=CALCSLICE("ArmHST";B120)	=CALCSLICE("Might";B120;0,8)					=CALCSLICE("Morale";B120;0,6)																																																										Shoulders	Ca
Supreme Pauldrons of the Shadow-bane (4s):	258	=CALCSLICE("ArmHST";B121)	=CALCSLICE("Might";B121;0,8)					=CALCSLICE("Morale";B121;0,6)																																																										Shoulders	Gu
Supreme Pauldrons of the Siege-breaker (4s):	258	=CALCSLICE("ArmHST";B122)	=CALCSLICE("Might";B122;0,8)					=CALCSLICE("Morale";B122;0,6)																																																										Shoulders	Ch
Supreme Pauldrons of the Steadfast Renewer (4s):	258	=CALCSLICE("ArmHST";B123)	=CALCSLICE("Might";B123;0,8)					=CALCSLICE("Morale";B123;0,6)																																																										Shoulders	Ca
Supreme Pauldrons of the Storm-bringer (4s):	258	=CALCSLICE("ArmHST";B124)	=CALCSLICE("Might";B124;0,8)					=CALCSLICE("Morale";B124;0,6)																																																										Shoulders	Ch
Supreme Pauldrons of the Unwavering Charge (4s):	258	=CALCSLICE("ArmHST";B125)	=CALCSLICE("Might";B125;0,8)					=CALCSLICE("Morale";B125;0,6)																																																										Shoulders	Ca
Supreme Pauldrons of the Unyielding Defender (4s):	258	=CALCSLICE("ArmHST";B126)	=CALCSLICE("Might";B126;0,8)					=CALCSLICE("Morale";B126;0,6)																																																										Shoulders	Gu
