	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
Patterned Umber-brushed Earring of Ithilien's Bounty (3s):	246			=CALCSLICE("Agility";B14;2)				=CALCSLICE("Morale";B14;0,8)																																																										Ears	BuHuWa
Greater Earring of the Pelennor Sage (3s):	234					=CALCSLICE("Will";B15;2)		=CALCSLICE("Morale";B15;0,8)																																																										Ears	LoMiRu
Greater Earring of the Pelennor Scout (3s):	234			=CALCSLICE("Agility";B16;2)				=CALCSLICE("Morale";B16;0,8)																																																										Ears	BuHuWa
Greater Earring of the Pelennor Warrior (3s):	234		=CALCSLICE("Might";B17;2)					=CALCSLICE("Morale";B17;0,8)																																																										Ears	BeCaChGuWa
(1879338212) Earring of Absent Friends (2s):	234		=CALCSLICE("Might";B18;2,2)					=CALCSLICE("Morale";B18;1,2)																=CALCSLICE("PhyMit";B18;0,4)	=CALCSLICE("TacMit";B18;0,4)																																									Ears	BeCaChGuWa
(1879338210) Earring of Forgotten Spirits (2s):	234					=CALCSLICE("Will";B19;2,2)		=CALCSLICE("Morale";B19;1,2)																=CALCSLICE("PhyMit";B19;0,4)	=CALCSLICE("TacMit";B19;0,4)																																									Ears	LoMiRu
(1879338205) Earring of Outcast Brethren (2s):	234			=CALCSLICE("Agility";B20;2,2)				=CALCSLICE("Morale";B20;1,2)																=CALCSLICE("PhyMit";B20;0,4)	=CALCSLICE("TacMit";B20;0,4)																																									Ears	BuHuWa
(1879339554) Bloodstone Earring	234				=CALCSLICE("Vitality";B21;2,4)	=CALCSLICE("Will";B21;2,8)	=CALCSLICE("Fate";B21;1)		=CALCSLICE("Power";B21;0,8)																																																										
(1879339508) Gold Dwarf-make Earring	234		=CALCSLICE("Might";B22;2,4)		=CALCSLICE("Vitality";B22;2,8)																	=CALCSLICE("Parry";B22;1)	=CALCSLICE("Evade";B22;0,8)																																												
(1879339540) Golden Hare Earring	234		=CALCSLICE("Might";B23;2,8)		=CALCSLICE("Vitality";B23;2,4)		=CALCSLICE("Fate";B23;1,2)								=CALCSLICE("Finesse";B23;0,6)																																																				
(1879339513) Large Ruby Earring	234				=CALCSLICE("Vitality";B24;2,4)	=CALCSLICE("Will";B24;2,8)		=CALCSLICE("Morale";B24;0,4)							=CALCSLICE("Finesse";B24;0,8)		=CALCSLICE("TacMas";B24;0,6)																																																		
(1879339536) Luminescent Earring	234			=CALCSLICE("Agility";B25;2,8)	=CALCSLICE("Vitality";B25;2,4)									=CALCSLICE("CritHit";B25;0,4)	=CALCSLICE("Finesse";B25;0,6)	=CALCSLICE("PhyMas";B25;0,8)																																																			
Lesser Earring of the Pelennor Sage (2s):	222					=CALCSLICE("Will";B26;2,8)		=CALCSLICE("Morale";B26;1,4)																																																										Ears	LoMiRu
Lesser Earring of the Pelennor Scout (2s):	222			=CALCSLICE("Agility";B27;2,8)				=CALCSLICE("Morale";B27;1,4)																																																										Ears	BuHuWa
Lesser Earring of the Pelennor Warrior (2s):	222		=CALCSLICE("Might";B28;2,8)					=CALCSLICE("Morale";B28;1,4)																																																										Ears	BeCaChGuWa
(1879331940) Earring of Absent Friends (2s):	222		=CALCSLICE("Might";B29;2,2)					=CALCSLICE("Morale";B29;1,2)																=CALCSLICE("PhyMit";B29;0,4)	=CALCSLICE("TacMit";B29;0,4)																																									Ears	BeCaChGuWa
(1879331937) Earring of Forgotten Spirits (2s):	222					=CALCSLICE("Will";B30;2,2)		=CALCSLICE("Morale";B30;1,2)																=CALCSLICE("PhyMit";B30;0,4)	=CALCSLICE("TacMit";B30;0,4)																																									Ears	LoMiRu
(1879331935) Earring of Outcast Brethren (2s):	222			=CALCSLICE("Agility";B31;2,2)				=CALCSLICE("Morale";B31;1,2)																=CALCSLICE("PhyMit";B31;0,4)	=CALCSLICE("TacMit";B31;0,4)																																									Ears	BuHuWa
Exquisite Anórien Earring of Combat (3s):	201		=CALCSLICE("Might";B32;1,4)					=CALCSLICE("Morale";B32;1,4)																																																										Ears	BeCaChGuWa
Exquisite Anórien Earring of Skill (3s):	201			=CALCSLICE("Agility";B33;1,4)				=CALCSLICE("Morale";B33;1,4)																																																										Ears	BuHuWa
Exquisite Anórien Earring of Succour (3s):	201					=CALCSLICE("Will";B34;1,4)		=CALCSLICE("Morale";B34;1,4)																																																										Ears	LoMiRu
Siege-breaker's Earring of Warfare (2s):	201		=CALCSLICE("Might";B35;2)					=CALCSLICE("Morale";B35;1,2)						=CALCSLICE("CritHit";B35;1)																																																				Ears	BeCaChGuWa
Siege-breaker's Earring of Strategy (2s):	201			=CALCSLICE("Agility";B36;2)				=CALCSLICE("Morale";B36;1,2)						=CALCSLICE("CritHit";B36;1)																																																				Ears	BuHuWa
Siege-breaker's Earring of Tactics (2s):	201					=CALCSLICE("Will";B37;2)		=CALCSLICE("Morale";B37;1,2)						=CALCSLICE("CritHit";B37;1)																																																				Ears	LoMiRu
Polished Star-set Earring of the Warrior	201		=CALCSLICE("Might";B38;3)		=CALCSLICE("Vitality";B38;2)									=CALCSLICE("CritHit";B38;1)	=CALCSLICE("Finesse";B38;1)																																																				
Polished Star-set Earring of the Defender	201		=CALCSLICE("Might";B39;2)		=CALCSLICE("Vitality";B39;3)										=CALCSLICE("Finesse";B39;1)							=CALCSLICE("Parry";B39;1)																																													
Polished Star-set Earring of the Rangers	201			=CALCSLICE("Agility";B40;3)	=CALCSLICE("Vitality";B40;2)									=CALCSLICE("CritHit";B40;1)	=CALCSLICE("Finesse";B40;0,6)	=CALCSLICE("PhyMas";B40;0,4)																																																			
Polished Star-set Earring of the Bridge-warden	201			=CALCSLICE("Agility";B41;2)	=CALCSLICE("Vitality";B41;3)										=CALCSLICE("Finesse";B41;1)								=CALCSLICE("Evade";B41;1)																																												
Polished Star-set Earring of the Healers	201				=CALCSLICE("Vitality";B42;2,4)	=CALCSLICE("Will";B42;3)									=CALCSLICE("Finesse";B42;0,6)		=CALCSLICE("TacMas";B42;1)																																																		
Polished Star-set Earring of the Nobleman	201				=CALCSLICE("Vitality";B43;2)	=CALCSLICE("Will";B43;3)								=CALCSLICE("CritHit";B43;1)	=CALCSLICE("Finesse";B43;1)																																																				
Sturdy Earrings of the Vale	195		=CALCSLICE("Might";B44;2)		=CALCSLICE("Vitality";B44;2)											=CALCSLICE("PhyMas";B44;2)								=CALCSLICE("PhyMit";B44;1)																																											
Gleaming Earrings of the Vale	195			=CALCSLICE("Agility";B45;2)	=CALCSLICE("Vitality";B45;2)											=CALCSLICE("PhyMas";B45;2)								=CALCSLICE("PhyMit";B45;1)																																											
Polished Earrings of the Vale	195				=CALCSLICE("Vitality";B46;2)	=CALCSLICE("Will";B46;2)											=CALCSLICE("TacMas";B46;2)								=CALCSLICE("TacMit";B46;1)																																										
Greater Valourous Earring of Finesse	192		=CALCSLICE("Might";B47;2,8)		=CALCSLICE("Vitality";B47;2,4)										=CALCSLICE("Finesse";B47;1)	=CALCSLICE("PhyMas";B47;0,8)																																																			
(1879310788) Adept Officer's Enduring Earring	192		=CALCSLICE("Might";B48;2,4)		=CALCSLICE("Vitality";B48;2,8)		=CALCSLICE("Fate";B48;1)															=CALCSLICE("Parry";B48;0,8)																																													
(1879310898) Master Engineer's Enduring Earring	192		=CALCSLICE("Might";B49;2,4)		=CALCSLICE("Vitality";B49;2,8)														=CALCSLICE("CritDef";B49;0,6)				=CALCSLICE("Evade";B49;1,2)																																												
(1879310946) Adept Officer's Persevering Earring	192				=CALCSLICE("Vitality";B50;2,4)	=CALCSLICE("Will";B50;2,8)	=CALCSLICE("Fate";B50;1)							=CALCSLICE("CritHit";B50;0,8)																																																					
(1879310964) Adept Officer's Resolute Earring	192				=CALCSLICE("Vitality";B51;2,4)	=CALCSLICE("Will";B51;2,8)	=CALCSLICE("Fate";B51;1)										=CALCSLICE("TacMas";B51;0,8)																																																		
(1879310908) Master Engineer's Persevering Earring	192				=CALCSLICE("Vitality";B52;2,4)	=CALCSLICE("Will";B52;2,8)								=CALCSLICE("CritHit";B52;1,2)			=CALCSLICE("TacMas";B52;0,6)																																																		
(1879310902) Master Engineer's Resolute Earring	192				=CALCSLICE("Vitality";B53;2,4)	=CALCSLICE("Will";B53;2,8)									=CALCSLICE("Finesse";B53;0,6)		=CALCSLICE("TacMas";B53;1,2)																																																		
Opulent Earrings of the Great Shore	192				=CALCSLICE("Vitality";B54;2)	=CALCSLICE("Will";B54;2,4)	=CALCSLICE("Fate";B54;1)							=CALCSLICE("CritHit";B54;0,6)																																																					
Exquisite Earring of Fangorn	182		=CALCSLICE("Might";B55;2,8)		=CALCSLICE("Vitality";B55;2,4)			=CALCSLICE("Morale";B55;0,6)						=CALCSLICE("CritHit";B55;0,6)		=CALCSLICE("PhyMas";B55;0,6)																																																			
Exquisite Fangorn Earring of Skill	182			=CALCSLICE("Agility";B56;2,8)	=CALCSLICE("Vitality";B56;2,4)			=CALCSLICE("Morale";B56;0,6)						=CALCSLICE("CritHit";B56;0,6)		=CALCSLICE("PhyMas";B56;0,6)																																																			
Exquisite Fangorn Earring of Tactics	182				=CALCSLICE("Vitality";B57;2,4)	=CALCSLICE("Will";B57;2,8)		=CALCSLICE("Morale";B57;0,6)						=CALCSLICE("CritHit";B57;0,6)			=CALCSLICE("TacMas";B57;0,6)																																																		
Exquisite Fangorn Earring of Endurance	182				=CALCSLICE("Vitality";B58;2,8)		=CALCSLICE("Fate";B58;2,4)	=CALCSLICE("Morale";B58;0,8)	=CALCSLICE("Power";B58;0,8)										=CALCSLICE("CritDef";B58;0,2)																																																
Master Engineer's Valourous Earring	176		=CALCSLICE("Might";B59;2,8)		=CALCSLICE("Vitality";B59;2,4)		=CALCSLICE("Fate";B59;1,2)							=CALCSLICE("CritHit";B59;0,6)																																																					
Skilled Vanguard's Valourous Earring	176		=CALCSLICE("Might";B60;2,8)		=CALCSLICE("Vitality";B60;2,4)			=CALCSLICE("Morale";B60;0,4)						=CALCSLICE("CritHit";B60;0,8)		=CALCSLICE("PhyMas";B60;0,6)																																																			
Battle Earring of the Deep	176		=CALCSLICE("Might";B61;2,8)		=CALCSLICE("Vitality";B61;2,4)			=CALCSLICE("Morale";B61;1)						=CALCSLICE("CritHit";B61;0,6)	=CALCSLICE("Finesse";B61;0,2)																																																				
Master Engineer's Enduring Earring	176		=CALCSLICE("Might";B62;2,4)		=CALCSLICE("Vitality";B62;2,8)														=CALCSLICE("CritDef";B62;0,6)				=CALCSLICE("Evade";B62;1,2)																																												
Greater Dextrous Earring of Fate	176			=CALCSLICE("Agility";B63;2,8)	=CALCSLICE("Vitality";B63;2,4)		=CALCSLICE("Fate";B63;1)									=CALCSLICE("PhyMas";B63;0,8)																																																			
Greater Dextrous Earring of Penetration	176			=CALCSLICE("Agility";B64;2,8)	=CALCSLICE("Vitality";B64;2,4)									=CALCSLICE("CritHit";B64;1,2)		=CALCSLICE("PhyMas";B64;0,6)																																																			
Adept Officer's Dextrous Earring	176			=CALCSLICE("Agility";B65;2,8)	=CALCSLICE("Vitality";B65;2,4)										=CALCSLICE("Finesse";B65;1)	=CALCSLICE("PhyMas";B65;0,8)																																																			
Adept Officer's Resilient Earring	176			=CALCSLICE("Agility";B66;2,4)	=CALCSLICE("Vitality";B66;2,8)										=CALCSLICE("Finesse";B66;1)	=CALCSLICE("PhyMas";B66;0,8)																																																			
Exquisite Emerald Earring of Combat	156		=CALCSLICE("Might";B67;2,4)		=CALCSLICE("Vitality";B67;2)			=CALCSLICE("Morale";B67;1)						=CALCSLICE("CritHit";B67;0,6)																																																					
Neck																																																																	
Empowered Corded Necklace of the West (3s):	282			=CALCSLICE("Agility";B69;3)				=CALCSLICE("Morale";B69;0,8)																																																										Neck	BuHuWa
Empowered Elegant Necklace of the West (3s):	282					=CALCSLICE("Will";B70;3)		=CALCSLICE("Morale";B70;0,8)																																																										Neck	LoMiRu
Empowered Enduring Necklace of the West (3s):	282		=CALCSLICE("Might";B71;3)					=CALCSLICE("Morale";B71;0,8)																																																										Neck	BeCaChGuWa
Master-weaponist's Corded Necklace of the West (3s):	258			=CALCSLICE("Agility";B72;3)				=CALCSLICE("Morale";B72;0,8)																																																										Neck	BuHuWa
Master-weaponist's Elegant Necklace of the West (3s):	258					=CALCSLICE("Will";B73;3)		=CALCSLICE("Morale";B73;0,8)																																																										Neck	LoMiRu
Master-weaponist's Enduring Necklace of the West (3s):	258		=CALCSLICE("Might";B74;3)					=CALCSLICE("Morale";B74;0,8)																																																										Neck	BeCaChGuWa
Braided Herb-brushed Choker of Ithilien's Bounty (3s):	246			=CALCSLICE("Agility";B75;2)				=CALCSLICE("Morale";B75;0,8)																																																										Neck	BuHuWa
Corded Necklace of the West (3s):	246			=CALCSLICE("Agility";B76;2)				=CALCSLICE("Morale";B76;0,8)																																																										Neck	BuHuWa
Delicate Vine-woven Necklace of Ithilien's Bounty (3s):	246					=CALCSLICE("Will";B77;2)		=CALCSLICE("Morale";B77;0,8)																																																										Neck	LoMiRu
Elegant Necklace of the West (3s):	246					=CALCSLICE("Will";B78;2)		=CALCSLICE("Morale";B78;0,8)																																																										Neck	LoMiRu
Enduring Necklace of the West (3s):	246		=CALCSLICE("Might";B79;2)					=CALCSLICE("Morale";B79;0,8)																																																										Neck	BeCaChGuWa
Heavy Emerald Pendant of Ithilien's Bounty (3s):	246		=CALCSLICE("Might";B80;2)					=CALCSLICE("Morale";B80;0,8)																																																										Neck	BeCaChGuWa
Greater Necklace of the Pelennor Sage (3s):	234					=CALCSLICE("Will";B81;2)		=CALCSLICE("Morale";B81;0,8)																																																										Neck	LoMiRu
Greater Necklace of the Pelennor Scout (3s):	234			=CALCSLICE("Agility";B82;2)				=CALCSLICE("Morale";B82;0,8)																																																										Neck	BuHuWa
Greater Necklace of the Pelennor Warrior (3s):	234		=CALCSLICE("Might";B83;2)					=CALCSLICE("Morale";B83;0,8)																																																										Neck	BeCaChGuWa
(1879338213) Necklace of Absent Friends (2s):	234		=CALCSLICE("Might";B84;2,2)					=CALCSLICE("Morale";B84;1,2)																=CALCSLICE("PhyMit";B84;0,4)	=CALCSLICE("TacMit";B84;0,4)																																									Neck	BeCaChGuWa
(1879338214) Necklace of Forgotten Spirits (2s):	234					=CALCSLICE("Will";B85;2,2)		=CALCSLICE("Morale";B85;1,2)																=CALCSLICE("PhyMit";B85;0,4)	=CALCSLICE("TacMit";B85;0,4)																																									Neck	LoMiRu
(1879338215) Necklace of Outcast Brethren (2s):	234			=CALCSLICE("Agility";B86;2,2)				=CALCSLICE("Morale";B86;1,2)																=CALCSLICE("PhyMit";B86;0,4)	=CALCSLICE("TacMit";B86;0,4)																																									Neck	BuHuWa
(1879339535) Ancient Jade Necklace	234		=CALCSLICE("Might";B87;2,8)		=CALCSLICE("Vitality";B87;2,4)										=CALCSLICE("Finesse";B87;1,2)	=CALCSLICE("PhyMas";B87;0,6)																																																			
(1879339547) Choker of the Spearhead	234		=CALCSLICE("Might";B88;2,4)		=CALCSLICE("Vitality";B88;2,8)		=CALCSLICE("Fate";B88;1,2)														=CALCSLICE("Block";B88;0,6)																																														
(1879339538) Compass Rose Necklace	234			=CALCSLICE("Agility";B89;2,4)	=CALCSLICE("Vitality";B89;2,8)																	=CALCSLICE("Parry";B89;0,8)	=CALCSLICE("Evade";B89;1)																																												
(1879339515) Elegant Jade Choker	234				=CALCSLICE("Vitality";B90;2,4)	=CALCSLICE("Will";B90;2,8)								=CALCSLICE("CritHit";B90;0,8)			=CALCSLICE("TacMas";B90;1)																																																		
(1879339522) Large Opal Necklace	234			=CALCSLICE("Agility";B91;2,8)	=CALCSLICE("Vitality";B91;2,4)				=CALCSLICE("Power";B91;0,4)						=CALCSLICE("Finesse";B91;0,8)	=CALCSLICE("PhyMas";B91;0,6)																																																			
(1879339561) Pendant of the Golden Triangle	234			=CALCSLICE("Agility";B92;2,4)	=CALCSLICE("Vitality";B92;2,8)																=CALCSLICE("Block";B92;0,6)	=CALCSLICE("Parry";B92;1,2)																																													
(1879339524) Shimmering Gold Pendant	234				=CALCSLICE("Vitality";B93;2,4)	=CALCSLICE("Will";B93;2,8)	=CALCSLICE("Fate";B93;1,2)										=CALCSLICE("TacMas";B93;0,6)																																																		
Lesser Necklace of the Pelennor Sage (2s):	222					=CALCSLICE("Will";B94;2,8)		=CALCSLICE("Morale";B94;1,4)																																																										Neck	LoMiRu
Lesser Necklace of the Pelennor Scout (2s):	222			=CALCSLICE("Agility";B95;2,8)				=CALCSLICE("Morale";B95;1,4)																																																										Neck	BuHuWa
Lesser Necklace of the Pelennor Warrior (2s):	222		=CALCSLICE("Might";B96;2,8)					=CALCSLICE("Morale";B96;1,4)																																																										Neck	BeCaChGuWa
(1879331936) Necklace of Absent Friends (2s):	222		=CALCSLICE("Might";B97;2,2)					=CALCSLICE("Morale";B97;1,2)																=CALCSLICE("PhyMit";B97;0,4)	=CALCSLICE("TacMit";B97;0,4)																																									Neck	BeCaChGuWa
(1879331930) Necklace of Forgotten Spirits (2s):	222					=CALCSLICE("Will";B98;2,2)		=CALCSLICE("Morale";B98;1,2)																=CALCSLICE("PhyMit";B98;0,4)	=CALCSLICE("TacMit";B98;0,4)																																									Neck	LoMiRu
(1879331934) Necklace of Outcast Brethren (2s):	222			=CALCSLICE("Agility";B99;2,2)				=CALCSLICE("Morale";B99;1,2)																=CALCSLICE("PhyMit";B99;0,4)	=CALCSLICE("TacMit";B99;0,4)																																									Neck	BuHuWa
Exquisite Anórien Necklace of Combat (3s):	201		=CALCSLICE("Might";B100;1,4)					=CALCSLICE("Morale";B100;1,4)																																																										Neck	BeCaChGuWa
Exquisite Anórien Necklace of Skill (3s):	201			=CALCSLICE("Agility";B101;1,4)				=CALCSLICE("Morale";B101;1,4)																																																										Neck	BuHuWa
Exquisite Anórien Necklace of Succour (3s):	201					=CALCSLICE("Will";B102;1,4)		=CALCSLICE("Morale";B102;1,4)																																																										Neck	LoMiRu
Siege-breaker's Necklace of Warfare (2s):	201		=CALCSLICE("Might";B103;2)					=CALCSLICE("Morale";B103;1,2)						=CALCSLICE("CritHit";B103;1)																																																				Neck	BeCaChGuWa
Siege-breaker's Necklace of Strategy (2s):	201			=CALCSLICE("Agility";B104;2)				=CALCSLICE("Morale";B104;1,2)						=CALCSLICE("CritHit";B104;1)																																																				Neck	BuHuWa
Siege-breaker's Necklace of Tactics (2s):	201					=CALCSLICE("Will";B105;2)		=CALCSLICE("Morale";B105;1,2)						=CALCSLICE("CritHit";B105;1)																																																				Neck	LoMiRu
Damrod's Pendant (3s):	201		=CALCSLICE("Might";B106;2,8)																																																															Neck	BeCaChGuWa
Anborn's Pendant (3s):	201			=CALCSLICE("Agility";B107;2,8)																																																														Neck	BuHuWa
Mablung's Pendant (3s):	201					=CALCSLICE("Will";B108;2,8)																																																												Neck	LoMiRu
Exquisite Necklace of Fangorn	182		=CALCSLICE("Might";B109;2,8)		=CALCSLICE("Vitality";B109;2,4)			=CALCSLICE("Morale";B109;0,6)						=CALCSLICE("CritHit";B109;0,6)		=CALCSLICE("PhyMas";B109;0,6)																																																			
Exquisite Fangorn Necklace of Skill	182			=CALCSLICE("Agility";B110;2,8)	=CALCSLICE("Vitality";B110;2,4)			=CALCSLICE("Morale";B110;0,6)						=CALCSLICE("CritHit";B110;0,6)		=CALCSLICE("PhyMas";B110;0,6)																																																			
Exquisite Fangorn Necklace of Tactics	182				=CALCSLICE("Vitality";B111;2,4)	=CALCSLICE("Will";B111;2,8)		=CALCSLICE("Morale";B111;0,6)						=CALCSLICE("CritHit";B111;0,6)			=CALCSLICE("TacMas";B111;0,6)																																																		
Exquisite Fangorn Necklace of Endurance	182				=CALCSLICE("Vitality";B112;2,8)		=CALCSLICE("Fate";B112;2,4)	=CALCSLICE("Morale";B112;0,8)	=CALCSLICE("Power";B112;0,8)										=CALCSLICE("CritDef";B112;0,2)																																																
Master Engineer's Valourous Necklace	176		=CALCSLICE("Might";B113;2,8)		=CALCSLICE("Vitality";B113;2,4)		=CALCSLICE("Fate";B113;1,2)							=CALCSLICE("CritHit";B113;0,6)																																																					
Skilled Vanguard's Valourous Necklace	176		=CALCSLICE("Might";B114;2,8)		=CALCSLICE("Vitality";B114;2,4)				=CALCSLICE("Power";B114;0,4)					=CALCSLICE("CritHit";B114;0,6)		=CALCSLICE("PhyMas";B114;0,8)																																																			
Battle Necklace of the Deep	176		=CALCSLICE("Might";B115;2,8)		=CALCSLICE("Vitality";B115;2,4)			=CALCSLICE("Morale";B115;1)						=CALCSLICE("CritHit";B115;0,6)	=CALCSLICE("Finesse";B115;0,2)																																																				
Adept Officer's Enduring Necklace	176		=CALCSLICE("Might";B116;2,4)		=CALCSLICE("Vitality";B116;2,8)		=CALCSLICE("Fate";B116;1)														=CALCSLICE("Block";B116;0,8)																																														
Master Engineer's Enduring Necklace	176		=CALCSLICE("Might";B117;2,4)		=CALCSLICE("Vitality";B117;2,8)			=CALCSLICE("Morale";B117;0,8)														=CALCSLICE("Parry";B117;0,6)																																													
Greater Steadfast Necklace of Parrying	176		=CALCSLICE("Might";B118;2,4)		=CALCSLICE("Vitality";B118;2,8)																=CALCSLICE("Block";B118;0,8)	=CALCSLICE("Parry";B118;1)																																													
Greater Dextrous Necklace of Fate	176			=CALCSLICE("Agility";B119;2,8)	=CALCSLICE("Vitality";B119;2,4)		=CALCSLICE("Fate";B119;1)									=CALCSLICE("PhyMas";B119;0,8)																																																			
Skilled Vanguard's Resilient Necklace	176			=CALCSLICE("Agility";B120;2,4)	=CALCSLICE("Vitality";B120;2,8)		=CALCSLICE("Fate";B120;0,8)	=CALCSLICE("Morale";B120;0,4)						=CALCSLICE("CritHit";B120;0,6)																																																					
Adept Officer's Resilient Necklace	176			=CALCSLICE("Agility";B121;2,4)	=CALCSLICE("Vitality";B121;2,8)									=CALCSLICE("CritHit";B121;0,8)		=CALCSLICE("PhyMas";B121;1)																																																			
Tactical Necklace of the Deep	176				=CALCSLICE("Vitality";B122;2,4)	=CALCSLICE("Will";B122;2,8)		=CALCSLICE("Morale";B122;1)						=CALCSLICE("CritHit";B122;0,6)	=CALCSLICE("Finesse";B122;0,2)																																																				
Greater Resolute Necklace of Tactics	176				=CALCSLICE("Vitality";B123;2,4)	=CALCSLICE("Will";B123;2,8)		=CALCSLICE("Morale";B123;0,4)						=CALCSLICE("CritHit";B123;0,6)			=CALCSLICE("TacMas";B123;0,8)																																																		
Greater Resolute Necklace of Penetration	176				=CALCSLICE("Vitality";B124;2,4)	=CALCSLICE("Will";B124;2,8)			=CALCSLICE("Power";B124;0,6)					=CALCSLICE("CritHit";B124;1,2)																																																					
Exquisite Great River Necklace of Morale	84				=CALCSLICE("Vitality";B125;2)			=CALCSLICE("Morale";B125;1,4)												=CALCSLICE("InHeal";B125;1,6)				=CALCSLICE("PhyMit";B125;1)	=CALCSLICE("TacMit";B125;1)																																										
Wrists																																																																	
Bold Cuff of the Pelennor (3s):	258		=CALCSLICE("Might";B127;3)					=CALCSLICE("Morale";B127;0,8)																																																										Wrists	BeCaChGuWa
Glimmering Cuff of the Pelennor (3s):	258					=CALCSLICE("Will";B128;3)		=CALCSLICE("Morale";B128;0,8)																																																										Wrists	LoMiRu
Weightless Cuff of the Pelennor (3s):	258			=CALCSLICE("Agility";B129;3)				=CALCSLICE("Morale";B129;0,8)																																																										Wrists	BuHuWa
Braided Amber-brushed Bracer of Ithilien's Bounty (3s):	246			=CALCSLICE("Agility";B130;2)				=CALCSLICE("Morale";B130;0,8)																																																										Wrists	BuHuWa
Delicate Amber Wristlet of Ithilien's Bounty (3s):	246					=CALCSLICE("Will";B131;2)		=CALCSLICE("Morale";B131;0,8)																																																										Wrists	LoMiRu
Heavy Citrine Bracelet of Ithilien's Bounty (3s):	246		=CALCSLICE("Might";B132;2)					=CALCSLICE("Morale";B132;0,8)																																																										Wrists	BeCaChGuWa
Greater Bracelet of the Pelennor Sage (3s):	234					=CALCSLICE("Will";B133;2)		=CALCSLICE("Morale";B133;0,8)																																																										Wrists	LoMiRu
Greater Bracelet of the Pelennor Scout (3s):	234			=CALCSLICE("Agility";B134;2)				=CALCSLICE("Morale";B134;0,8)																																																										Wrists	BuHuWa
Greater Bracelet of the Pelennor Warrior (3s):	234		=CALCSLICE("Might";B135;2)					=CALCSLICE("Morale";B135;0,8)																																																										Wrists	BeCaChGuWa
(1879338204) Bracelet of Absent Friends (2s):	234		=CALCSLICE("Might";B136;2,2)					=CALCSLICE("Morale";B136;1,2)																=CALCSLICE("PhyMit";B136;0,4)	=CALCSLICE("TacMit";B136;0,4)																																									Wrists	BeCaChGuWa
