	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes
#Trappings of the Song-warrior set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A17;CHERCHE("Equipped";A17)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B17;2)																																																													
#Trappings of the Vigilant Watcher set bonus: 5 Equipped	222					=CHOISIR(CNUM(STXT(A18;CHERCHE("Equipped";A18)-2;1))+1;0;0;1;1;1;1;1)*CALCSLICE("Will";B18;2)																													=CHOISIR(CNUM(STXT($A18;CHERCHE("Equipped";$A18)-2;1))+1;0;0;0;0;1;1;1)*0,05																																
#Armour of a Lore-master's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A19;CHERCHE("Equipped";A19)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Minstrel's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A20;CHERCHE("Equipped";A20)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Armour of a Rune-keeper's Recollection set bonus: 4 Equipped	222																																																=CHOISIR(CNUM(STXT(A21;CHERCHE("Equipped";A21)-2;1))+1;0;0;1;1;1;1;1)*0,1																		
#Pelennor Armour of the Biting Wit: 4 Equipped	222																																									=CHOISIR(CNUM(STXT(A22;CHERCHE("Equipped";A22)-2;1))+1;0;0;1;1;1;1;1)*0,1																									
#Pelennor Armour of the War-counselor: 4 Equipped	222																																									=CHOISIR(CNUM(STXT(A23;CHERCHE("Equipped";A23)-2;1))+1;0;0;1;1;1;1;1)*0,1																									
#Pelennor Battle-crier's Armour: 4 Equipped	222																																									=CHOISIR(CNUM(STXT(A24;CHERCHE("Equipped";A24)-2;1))+1;0;0;1;1;1;1;1)*0,1																									
#Guardian of Watchwood set bonus: 6 Equipped	192				=CHOISIR(CNUM(STXT(A25;CHERCHE("Equipped";A25)-2;1))+1;0;0;0;0;1;1;1)*CALCSLICE("Vitality";B25;1)	=CHOISIR(CNUM(STXT(A25;CHERCHE("Equipped";A25)-2;1))+1;0;0;1;1;1;1;2)*CALCSLICE("Will";B25;1)	=CHOISIR(CNUM(STXT(A25;CHERCHE("Equipped";A25)-2;1))+1;0;0;0;1;1;2;2)*CALCSLICE("Fate";B25;1)										=CHOISIR(CNUM(STXT(A25;CHERCHE("Equipped";A25)-2;1))+1;0;0;0;0;0;0;1)*CALCSLICE("TacMas";B25;1)																																																		
#Western Shore set bonus: 6 Equipped	192					=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;0;0;1;1;1)*CALCSLICE("Will";B26;1)	=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;0;1;1;1;2)*CALCSLICE("Fate";B26;1)										=CHOISIR(CNUM(STXT(A26;CHERCHE("Equipped";A26)-2;1))+1;0;0;1;1;1;2;3)*CALCSLICE("TacMas";B26;1)																																																		
#Armour of the Storied Mariner set bonus: 6 Equipped	192																																		=CHOISIR(CNUM(STXT($A27;CHERCHE("Equipped";$A27)-2;1))+1;0;0;1;1;1;1;1)*0,05																																
Head																																																																			
Flame-scourer's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B29)				=CALCSLICE("Will";B29;0,8)		=CALCSLICE("Morale";B29;0,6)																																																										Head	Ru
Fury-wielder's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B30)				=CALCSLICE("Will";B30;0,8)		=CALCSLICE("Morale";B30;0,6)																																																										Head	Lo
Harmonious Protector's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B31)				=CALCSLICE("Will";B31;0,8)		=CALCSLICE("Morale";B31;0,6)																																																										Head	Mi
Knowledge-seeker's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B32)				=CALCSLICE("Will";B32;0,8)		=CALCSLICE("Morale";B32;0,6)																																																										Head	Lo
Nature-friend's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B33)				=CALCSLICE("Will";B33;0,8)		=CALCSLICE("Morale";B33;0,6)																																																										Head	Lo
Peace-mender's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B34)				=CALCSLICE("Will";B34;0,8)		=CALCSLICE("Morale";B34;0,6)																																																										Head	Ru
Song-warrior's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B35)				=CALCSLICE("Will";B35;0,8)		=CALCSLICE("Morale";B35;0,6)																																																										Head	Mi
Thunder-wielder's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B36)				=CALCSLICE("Will";B36;0,8)		=CALCSLICE("Morale";B36;0,6)																																																										Head	Ru
Vigilant Watcher's Hood of the Morannon (4s):	282	=CALCSLICE("ArmLHT";B37)				=CALCSLICE("Will";B37;0,8)		=CALCSLICE("Morale";B37;0,6)																																																										Head	Mi
Supreme Hood of the Flame-scourer (4s):	258	=CALCSLICE("ArmLHT";B38)				=CALCSLICE("Will";B38;0,8)		=CALCSLICE("Morale";B38;0,6)																																																										Head	Ru
Supreme Hood of the Fury-wielder (4s):	258	=CALCSLICE("ArmLHT";B39)				=CALCSLICE("Will";B39;0,8)		=CALCSLICE("Morale";B39;0,6)																																																										Head	Lo
Supreme Hood of the Harmonious Protector (4s):	258	=CALCSLICE("ArmLHT";B40)				=CALCSLICE("Will";B40;0,8)		=CALCSLICE("Morale";B40;0,6)																																																										Head	Mi
Supreme Hood of the Knowledge-seeker (4s):	258	=CALCSLICE("ArmLHT";B41)				=CALCSLICE("Will";B41;0,8)		=CALCSLICE("Morale";B41;0,6)																																																										Head	Lo
Supreme Hood of the Nature-friend (4s):	258	=CALCSLICE("ArmLHT";B42)				=CALCSLICE("Will";B42;0,8)		=CALCSLICE("Morale";B42;0,6)																																																										Head	Lo
Supreme Hood of the Peace-mender (4s):	258	=CALCSLICE("ArmLHT";B43)				=CALCSLICE("Will";B43;0,8)		=CALCSLICE("Morale";B43;0,6)																																																										Head	Ru
Supreme Hood of the Song-warrior (4s):	258	=CALCSLICE("ArmLHT";B44)				=CALCSLICE("Will";B44;0,8)		=CALCSLICE("Morale";B44;0,6)																																																										Head	Mi
Supreme Hood of the Thunder-wielder (4s):	258	=CALCSLICE("ArmLHT";B45)				=CALCSLICE("Will";B45;0,8)		=CALCSLICE("Morale";B45;0,6)																																																										Head	Ru
Supreme Hood of the Vigilant Watcher (4s):	258	=CALCSLICE("ArmLHT";B46)				=CALCSLICE("Will";B46;0,8)		=CALCSLICE("Morale";B46;0,6)																																																										Head	Mi
Weave-padded Helmet of the Ithilien Seeker (4s):	246	=CALCSLICE("ArmLHT";B47)				=CALCSLICE("Will";B47;0,8)		=CALCSLICE("Morale";B47;0,6)																																																										Head	LoMiRu
Greater Hood of the Flame-scourer (4s):	234	=CALCSLICE("ArmLHT";B48)				=CALCSLICE("Will";B48;0,8)		=CALCSLICE("Morale";B48;0,6)																																																										Head	Ru
Greater Hood of the Fury-wielder (4s):	234	=CALCSLICE("ArmLHT";B49)				=CALCSLICE("Will";B49;0,8)		=CALCSLICE("Morale";B49;0,6)																																																										Head	Lo
Greater Hood of the Harmonious Protector (4s):	234	=CALCSLICE("ArmLHT";B50)				=CALCSLICE("Will";B50;0,8)		=CALCSLICE("Morale";B50;0,6)																																																										Head	Mi
Greater Hood of the Knowledge-seeker (4s):	234	=CALCSLICE("ArmLHT";B51)				=CALCSLICE("Will";B51;0,8)		=CALCSLICE("Morale";B51;0,6)																																																										Head	Lo
Greater Hood of the Nature-friend (4s):	234	=CALCSLICE("ArmLHT";B52)				=CALCSLICE("Will";B52;0,8)		=CALCSLICE("Morale";B52;0,6)																																																										Head	Lo
Greater Hood of the Peace-mender (4s):	234	=CALCSLICE("ArmLHT";B53)				=CALCSLICE("Will";B53;0,8)		=CALCSLICE("Morale";B53;0,6)																																																										Head	Ru
Greater Hood of the Song-warrior (4s):	234	=CALCSLICE("ArmLHT";B54)				=CALCSLICE("Will";B54;0,8)		=CALCSLICE("Morale";B54;0,6)																																																										Head	Mi
Greater Hood of the Thunder-wielder (4s):	234	=CALCSLICE("ArmLHT";B55)				=CALCSLICE("Will";B55;0,8)		=CALCSLICE("Morale";B55;0,6)																																																										Head	Ru
Greater Hood of the Vigilant Watcher (4s):	234	=CALCSLICE("ArmLHT";B56)				=CALCSLICE("Will";B56;0,8)		=CALCSLICE("Morale";B56;0,6)																																																										Head	Mi
Lesser Hood of the Fury-wielder (4s):	222	=CALCSLICE("ArmLHT";B57)				=CALCSLICE("Will";B57;0,8)		=CALCSLICE("Morale";B57;0,6)																																																										Head	Lo
Lesser Hood of the Knowledge-seeker (4s):	222	=CALCSLICE("ArmLHT";B58)				=CALCSLICE("Will";B58;0,8)		=CALCSLICE("Morale";B58;0,6)																																																										Head	Lo
Lesser Hood of the Nature-friend (4s):	222	=CALCSLICE("ArmLHT";B59)				=CALCSLICE("Will";B59;0,8)		=CALCSLICE("Morale";B59;0,6)																																																										Head	Lo
Hood of the Flame-scourer (4s):	222	=CALCSLICE("ArmLHT";B60)				=CALCSLICE("Will";B60;0,8)		=CALCSLICE("Morale";B60;0,6)																																																										Head	Ru
Hood of the Harmonious Protector (4s):	222	=CALCSLICE("ArmLHT";B61)				=CALCSLICE("Will";B61;0,8)		=CALCSLICE("Morale";B61;0,6)																																																										Head	Mi
Hood of the Peace-mender (4s):	222	=CALCSLICE("ArmLHT";B62)				=CALCSLICE("Will";B62;0,8)		=CALCSLICE("Morale";B62;0,6)																																																										Head	Ru
Hood of the Song-warrior (4s):	222	=CALCSLICE("ArmLHT";B63)				=CALCSLICE("Will";B63;0,8)		=CALCSLICE("Morale";B63;0,6)																																																										Head	Mi
Hood of the Thunder-wielder (4s):	222	=CALCSLICE("ArmLHT";B64)				=CALCSLICE("Will";B64;0,8)		=CALCSLICE("Morale";B64;0,6)																																																										Head	Ru
Hood of the Vigilant Watcher (4s):	222	=CALCSLICE("ArmLHT";B65)				=CALCSLICE("Will";B65;0,8)		=CALCSLICE("Morale";B65;0,6)																																																										Head	Mi
Battle-crier's Helm (4s):	222	=CALCSLICE("ArmLHT";B66)				=CALCSLICE("Will";B66;0,8)		=CALCSLICE("Morale";B66;0,6)																																																										Head	Mi
Circlet of Biting Wit (4s):	222	=CALCSLICE("ArmLHT";B67)				=CALCSLICE("Will";B67;0,8)		=CALCSLICE("Morale";B67;0,6)																																																										Head	Ru
Hat of the War-counselor (4s):	222	=CALCSLICE("ArmLHT";B68)				=CALCSLICE("Will";B68;0,8)		=CALCSLICE("Morale";B68;0,6)																																																										Head	Lo
Ancient Circlet of Graven Word (2s):	222	=CALCSLICE("ArmLHT";B69)				=CALCSLICE("Will";B69;2)		=CALCSLICE("Morale";B69;1)									=CALCSLICE("TacMas";B69;0,4)							=CALCSLICE("PhyMit";B69;0,8)																																										Head	Ru
Ancient Hat of the Elder Days (2s):	222	=CALCSLICE("ArmLHT";B70)				=CALCSLICE("Will";B70;2)		=CALCSLICE("Morale";B70;1)									=CALCSLICE("TacMas";B70;0,4)							=CALCSLICE("PhyMit";B70;0,8)																																										Head	Lo
Ancient Wandering Bard's Helm (2s):	222	=CALCSLICE("ArmLHT";B71)				=CALCSLICE("Will";B71;2)		=CALCSLICE("Morale";B71;1)									=CALCSLICE("TacMas";B71;0,4)							=CALCSLICE("PhyMit";B71;0,8)																																										Head	Mi
Fine Mathom-hunter's Hat (105)	207	604			279	372											828																																																
Mathom-hunter's Hat (105)	207	574			186	372											828																																																
Exemplary Hood of the Anórien Sun (3s):	204	=CALCSLICE("ArmLHT";B74)				=CALCSLICE("Will";B74;1,4)		=CALCSLICE("Morale";B74;1,4)																																																										Head	LoMiRu
Anórien Assault Helm (3s):	201	=CALCSLICE("ArmLHT";B75)					=CALCSLICE("Fate";B75;1)	=CALCSLICE("Morale";B75;1,8)																																																										Head	LoMiRu
Ancient Osgiliath Circlet	201	=CALCSLICE("ArmLHT";B76)			=CALCSLICE("Vitality";B76;1)	=CALCSLICE("Will";B76;4)									=CALCSLICE("Finesse";B76;1)				=CALCSLICE("CritDef";B76;1)																																																
Helm of Osgiliath's Fury	201	=CALCSLICE("ArmLHT";B77)			=CALCSLICE("Vitality";B77;1)	=CALCSLICE("Will";B77;4)								=CALCSLICE("CritHit";B77;2)																																																					
Helm of the Osgiliath Animal-friend	201	=CALCSLICE("ArmLHT";B78)			=CALCSLICE("Vitality";B78;1)	=CALCSLICE("Will";B78;4)											=CALCSLICE("TacMas";B78;2)																																																		
Helm of the Osgiliath Cleanser	201	=CALCSLICE("ArmLHT";B79)			=CALCSLICE("Vitality";B79;1)	=CALCSLICE("Will";B79;4)								=CALCSLICE("CritHit";B79;1)			=CALCSLICE("TacMas";B79;1)																																																		
Helm of the Osgiliath Peace-caller	201	=CALCSLICE("ArmLHT";B80)			=CALCSLICE("Vitality";B80;1)	=CALCSLICE("Will";B80;4)								=CALCSLICE("CritHit";B80;1)			=CALCSLICE("TacMas";B80;1)																																																		
Helm of the Osgiliath Skald	201	=CALCSLICE("ArmLHT";B81)			=CALCSLICE("Vitality";B81;1)	=CALCSLICE("Will";B81;4)								=CALCSLICE("CritHit";B81;2)																																																					
Helm of the Osgiliath Song-protector	201	=CALCSLICE("ArmLHT";B82)			=CALCSLICE("Vitality";B82;2)	=CALCSLICE("Will";B82;4)											=CALCSLICE("TacMas";B82;1)																																																		
Helm of the Osgiliath Thunder-caller	201	=CALCSLICE("ArmLHT";B83)			=CALCSLICE("Vitality";B83;1)	=CALCSLICE("Will";B83;4)								=CALCSLICE("CritHit";B83;1)	=CALCSLICE("Finesse";B83;1)																																																				
Helm of the Osgiliath Watcher	201	=CALCSLICE("ArmLHT";B84)			=CALCSLICE("Vitality";B84;1)	=CALCSLICE("Will";B84;4)								=CALCSLICE("CritHit";B84;1)			=CALCSLICE("TacMas";B84;1)																																																		
Circlet of Faramir's Faithful (5s):	201	=CALCSLICE("ArmLHT";B85)																																																																Head	LoMiRu
Circlet of the Archivist	192	=CALCSLICE("ArmLHT";B86)			=CALCSLICE("Vitality";B86;2,4)	=CALCSLICE("Will";B86;2,8)								=CALCSLICE("CritHit";B86;1)	=CALCSLICE("Finesse";B86;0,8)																																																				
Circlet of the Night Watcher	192	=CALCSLICE("ArmLHT";B87)			=CALCSLICE("Vitality";B87;2,4)	=CALCSLICE("Will";B87;2,8)								=CALCSLICE("CritHit";B87;1)	=CALCSLICE("Finesse";B87;0,8)																																																				
Hood of Storied Mariner	192	=CALCSLICE("ArmLHT";B88)			=CALCSLICE("Vitality";B88;2,4)	=CALCSLICE("Will";B88;2,8)	=CALCSLICE("Fate";B88;0,8)							=CALCSLICE("CritHit";B88;1)																																																					
(1879313783) Light Nadhin Hood (4s):	192	=CALCSLICE("ArmLHT";B89)				=CALCSLICE("Will";B89;1,4)																																																												Head	LoMiRu
Amarthgarab	192	=CALCSLICE("ArmLHT";B90)			=CALCSLICE("Vitality";B90;2)	=CALCSLICE("Will";B90;2)	=CALCSLICE("Fate";B90;1)										=CALCSLICE("TacMas";B90;2)																																																		
Golthol	192	=CALCSLICE("ArmLHT";B91)				=CALCSLICE("Will";B91;2)	=CALCSLICE("Fate";B91;3)										=CALCSLICE("TacMas";B91;2)																																																		
Faithful Mender's Hat	192	=CALCSLICE("ArmLHT";B92)			=CALCSLICE("Vitality";B92;2,4)	=CALCSLICE("Will";B92;2,8)								=CALCSLICE("CritHit";B92;0,6)			=CALCSLICE("TacMas";B92;1,2)																																																		
Nadhin Footman's Helm (3s):	192	=CALCSLICE("ArmLHP";B93)			=CALCSLICE("Vitality";B93;0,4)	=CALCSLICE("Will";B93;1,4)																																																												Head	LoMiRu
Vibrant Ancient Circlet of the Onodrim	188	=CALCSLICE("ArmLHG";B94)			=CALCSLICE("Vitality";B94;2,8)	=CALCSLICE("Will";B94;3,2)	=CALCSLICE("Fate";B94;1,6)												=CALCSLICE("CritDef";B94;0,4)																																																
Tactical Ancient Circlet of the Onodrim	188	=CALCSLICE("ArmLHG";B95)	 		=CALCSLICE("Vitality";B95;2,8)	=CALCSLICE("Will";B95;3,2)								=CALCSLICE("CritHit";B95;1)			=CALCSLICE("TacMas";B95;1)																																																		
Tactical Circlet of the Onodrim	188	=CALCSLICE("ArmLHT";B96)			=CALCSLICE("Vitality";B96;2,4)	=CALCSLICE("Will";B96;2,8)								=CALCSLICE("CritHit";B96;1)			=CALCSLICE("TacMas";B96;0,8)																																																		
Supple Fangorn Hood of Insight	182	=CALCSLICE("ArmLHT";B97)			=CALCSLICE("Vitality";B97;2,4)	=CALCSLICE("Will";B97;2,8)	=CALCSLICE("Fate";B97;1,6)							=CALCSLICE("CritHit";B97;0,2)																																																					
Supple Fangorn Hood of Spirit	182	=CALCSLICE("ArmLHT";B98)			=CALCSLICE("Vitality";B98;2,4)	=CALCSLICE("Will";B98;2,8)	=CALCSLICE("Fate";B98;1,6)										=CALCSLICE("TacMas";B98;0,2)																																																		
Nadhin Footman's Helm (3s):	176	=CALCSLICE("ArmLHP";B99)			=CALCSLICE("Vitality";B99;0,4)	=CALCSLICE("Will";B99;1,4)																																																													
Hope of Helm's Deep	176	=CALCSLICE("ArmLHT";B100)			=CALCSLICE("Vitality";B100;2,4)	=CALCSLICE("Will";B100;2,8)	=CALCSLICE("Fate";B100;1)										=CALCSLICE("TacMas";B100;0,8)																																																		
Shoulders																																																																			
Flame-scourer's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B102)				=CALCSLICE("Will";B102;0,8)		=CALCSLICE("Morale";B102;0,6)																																																										Shoulders	Ru
Fury-wielder's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B103)				=CALCSLICE("Will";B103;0,8)		=CALCSLICE("Morale";B103;0,6)																																																										Shoulders	Lo
Harmonious Protector's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B104)				=CALCSLICE("Will";B104;0,8)		=CALCSLICE("Morale";B104;0,6)																																																										Shoulders	Mi
Knowledge-seeker's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B105)				=CALCSLICE("Will";B105;0,8)		=CALCSLICE("Morale";B105;0,6)																																																										Shoulders	Lo
Nature-friend's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B106)				=CALCSLICE("Will";B106;0,8)		=CALCSLICE("Morale";B106;0,6)																																																										Shoulders	Lo
Peace-mender's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B107)				=CALCSLICE("Will";B107;0,8)		=CALCSLICE("Morale";B107;0,6)																																																										Shoulders	Ru
Song-warrior's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B108)				=CALCSLICE("Will";B108;0,8)		=CALCSLICE("Morale";B108;0,6)																																																										Shoulders	Mi
Thunder-wielder's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B109)				=CALCSLICE("Will";B109;0,8)		=CALCSLICE("Morale";B109;0,6)																																																										Shoulders	Ru
Vigilant Watcher's Mantle of the Morannon (4s):	282	=CALCSLICE("ArmLST";B110)				=CALCSLICE("Will";B110;0,8)		=CALCSLICE("Morale";B110;0,6)																																																										Shoulders	Mi
Supreme Mantle of the Flame-scourer (4s):	258	=CALCSLICE("ArmLST";B111)				=CALCSLICE("Will";B111;0,8)		=CALCSLICE("Morale";B111;0,6)																																																										Shoulders	Ru
Supreme Mantle of the Fury-wielder (4s):	258	=CALCSLICE("ArmLST";B112)				=CALCSLICE("Will";B112;0,8)		=CALCSLICE("Morale";B112;0,6)																																																										Shoulders	Lo
Supreme Mantle of the Harmonious Protector (4s):	258	=CALCSLICE("ArmLST";B113)				=CALCSLICE("Will";B113;0,8)		=CALCSLICE("Morale";B113;0,6)																																																										Shoulders	Mi
Supreme Mantle of the Knowledge-seeker (4s):	258	=CALCSLICE("ArmLST";B114)				=CALCSLICE("Will";B114;0,8)		=CALCSLICE("Morale";B114;0,6)																																																										Shoulders	Lo
Supreme Mantle of the Nature-friend (4s):	258	=CALCSLICE("ArmLST";B115)				=CALCSLICE("Will";B115;0,8)		=CALCSLICE("Morale";B115;0,6)																																																										Shoulders	Lo
Supreme Mantle of the Peace-mender (4s):	258	=CALCSLICE("ArmLST";B116)				=CALCSLICE("Will";B116;0,8)		=CALCSLICE("Morale";B116;0,6)																																																										Shoulders	Ru
Supreme Mantle of the Song-warrior (4s):	258	=CALCSLICE("ArmLST";B117)				=CALCSLICE("Will";B117;0,8)		=CALCSLICE("Morale";B117;0,6)																																																										Shoulders	Mi
Supreme Mantle of the Thunder-wielder (4s):	258	=CALCSLICE("ArmLST";B118)				=CALCSLICE("Will";B118;0,8)		=CALCSLICE("Morale";B118;0,6)																																																										Shoulders	Ru
Supreme Mantle of the Vigilant Watcher (4s):	258	=CALCSLICE("ArmLST";B119)				=CALCSLICE("Will";B119;0,8)		=CALCSLICE("Morale";B119;0,6)																																																										Shoulders	Mi
Weave-padded Shoulders of the Ithilien Seeker (4s):	246	=CALCSLICE("ArmLST";B120)				=CALCSLICE("Will";B120;0,8)		=CALCSLICE("Morale";B120;0,6)																																																										Shoulders	LoMiRu
Greater Mantle of the Flame-scourer (4s):	234	=CALCSLICE("ArmLST";B121)				=CALCSLICE("Will";B121;0,8)		=CALCSLICE("Morale";B121;0,6)																																																										Shoulders	Ru
Greater Mantle of the Fury-wielder (4s):	234	=CALCSLICE("ArmLST";B122)				=CALCSLICE("Will";B122;0,8)		=CALCSLICE("Morale";B122;0,6)																																																										Shoulders	Lo
Greater Mantle of the Harmonious Protector (4s):	234	=CALCSLICE("ArmLST";B123)				=CALCSLICE("Will";B123;0,8)		=CALCSLICE("Morale";B123;0,6)																																																										Shoulders	Mi
Greater Mantle of the Knowledge-seeker (4s):	234	=CALCSLICE("ArmLST";B124)				=CALCSLICE("Will";B124;0,8)		=CALCSLICE("Morale";B124;0,6)																																																										Shoulders	Lo
Greater Mantle of the Nature-friend (4s):	234	=CALCSLICE("ArmLST";B125)				=CALCSLICE("Will";B125;0,8)		=CALCSLICE("Morale";B125;0,6)																																																										Shoulders	Lo
Greater Mantle of the Peace-mender (4s):	234	=CALCSLICE("ArmLST";B126)				=CALCSLICE("Will";B126;0,8)		=CALCSLICE("Morale";B126;0,6)																																																										Shoulders	Ru
Greater Mantle of the Song-warrior (4s):	234	=CALCSLICE("ArmLST";B127)				=CALCSLICE("Will";B127;0,8)		=CALCSLICE("Morale";B127;0,6)																																																										Shoulders	Mi
Greater Mantle of the Thunder-wielder (4s):	234	=CALCSLICE("ArmLST";B128)				=CALCSLICE("Will";B128;0,8)		=CALCSLICE("Morale";B128;0,6)																																																										Shoulders	Ru
Greater Mantle of the Vigilant Watcher (4s):	234	=CALCSLICE("ArmLST";B129)				=CALCSLICE("Will";B129;0,8)		=CALCSLICE("Morale";B129;0,6)																																																										Shoulders	Mi
Lesser Mantle of the Fury-wielder (4s):	222	=CALCSLICE("ArmLST";B130)				=CALCSLICE("Will";B130;0,8)		=CALCSLICE("Morale";B130;0,6)																																																										Shoulders	Lo
Lesser Mantle of the Knowledge-seeker (4s):	222	=CALCSLICE("ArmLST";B131)				=CALCSLICE("Will";B131;0,8)		=CALCSLICE("Morale";B131;0,6)																																																										Shoulders	Lo
Lesser Mantle of the Nature-friend (4s):	222	=CALCSLICE("ArmLST";B132)				=CALCSLICE("Will";B132;0,8)		=CALCSLICE("Morale";B132;0,6)																																																										Shoulders	Lo
Mantle of the Flame-scourer (4s):	222	=CALCSLICE("ArmLST";B133)				=CALCSLICE("Will";B133;0,8)		=CALCSLICE("Morale";B133;0,6)																																																										Shoulders	Ru
