	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP
Exceptional Anórien Chisel of Fire	201							1156	499			300					1608																																																
Exceptional Anórien Chisel of Lightning	201							1156	499					2909			1608																																																
Exceptional Anórien Riffler	201							1156	499								1608											-7% All Threat																																					
Exceptional Anórien Riffler of Hope	201							1156	499								1608											+100% Prelude of Hope Initial Healing																																					
Exceptional Anórien Riffler of Writs	201							1156	499								1608											All Writs have their power cost reduced by 10%. When Healing-Attuned, using Writ of Fire or Writ of Lightning will not shift your attunement. When Battle-attuned, using Writ of Health will not shift your attunement.																																					
Warden Carvings																																																																	
Finely-whittled Carving of the Veteran Warden (1s):	246							1767	633															4429				+7% Light-type Damage																																					
Anórien Guardian of the Fist Carving	201							1156	997															3619				-10% Fist Gambits Power Cost																																					
Anórien Guardian of the Shield Carving	201							1156	997															3619				-10% Shield Gambits Power Cost																																					
Anórien Guardian of the Spear Carving	201							1156	997															3619				-10% Reduced Spear Gambit Power Cost																																					
Anórien Heart of the Fist Carving	201							1156	997																3619			-10% Fist Gambits Power Cost																																					
Anórien Heart of the Shield Carving	201							1156	997																3619			-10% Shield Gambits Power Cost																																					
Anórien Heart of the Spear Carving	201							1156	997																3619			-10% Reduced Spear Gambit Power Cost																																					
Anórien Star of the Fist Carving	201							1156	997																			+7% Light-type Damage, -10% Fist Gambits Power Cost																																					
Anórien Star of the Shield Carving	201							1156	997																			+7% Light-type Damage, -10% Shield Gambits Power Cost																																					
Anórien Star of the Spear Carving	201							1156	997																			+7% Light-type Damage, -10% Reduced Spear Gambit Power Cost																																					
