	iLvl	Armour	Might	Agility	Vitality	Will	Fate	Morale	Power	ICMR	NCMR	ICPR	NCPR	CritHit	Finesse	PhyMas	TacMas	OutHeal	Resist	CritDef	InHeal	Block	Parry	Evade	PhyMit	TacMit	LoE	Audacity	Hope	Notes	ArmourP	MoraleP	PowerP	MelCritP	RngCritP	TacCritP	HealCritP	MelMagnP	RngMagnP	TacMagnP	HealMagnP	MelDmgP	RngDmgP	TacDmgP	OutHealP	MelIndP	RngIndP	TacIndP	HealIndP	AttDurP	RunSpdP	CritDefP	InHealP	BlockP	ParryP	EvadeP	PblkP	PparP	PevaP	PblkMitP	PparMitP	PevaMitP	MelRedP	RngRedP	TacRedP	PhyMitP	TacMitP	Category	Classes	MinLvl	MaxLvl	CategoryId	QualityId	SlotId	ClassId	EssSlots	SliceTot	SliceChk
- Grand Abyssal Rune of Enchantment	345													2572																1879364549																																						Relics	*	115		109	3	63			0,8	-1,2
- Grand Abyssal Rune of Striking	345													2572																1879364548																																						Relics	*	115		109	3	63			0,8	-1,2
- Grand Abyssal Setting of Brutality	345													3215									4340	2893						1879351121																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Setting of Defence	345																					7233	7233							1879351148																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Setting of Finesse	345														9743									7233						1879351157																																						Relics	*	115		109	2	63			2	
- Grand Abyssal Setting of Resistance	345																		4874							7235				1879351150																																						Relics	*	115		109	2	63			2	
- Incomparable Vanguard Rune of Binding	330													1624																1879361270																																						Relics	*	115		109	3	63			2	
- Incomparable Vanguard Rune of Enchantment	330													1624																1879361272																																						Relics	*	115		109	3	63			2	
- Incomparable Vanguard Rune of Striking	330													1624																1879361273																																						Relics	*	115		109	3	63			2	
- Last Alliance Gem of Agility	326			297																6452										1879351130																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Fate	326						297													6452										1879351144																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Might	326		297																	6452										1879351137																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Vitality	326				495															6452										1879351138																																						Relics	*			109	2	63			2	
- Last Alliance Gem of Will	326					297														6452										1879351139																																						Relics	*			109	2	63			2	
- Last Alliance Rune of Force	326													1543		4264														1879351129																																						Relics	*			109	2	63			1,6	-0,4
- Last Alliance Rune of Healing	326													1543				7182												1879351105																																						Relics	*			109	2	63			1,6	-0,4
- Last Alliance Rune of Power	326													1543			4264													1879351152																																						Relics	*			109	2	63			1,6	-0,4
- Last Alliance Setting of Brutality	326													2572									3472	2315						1879351160																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Defence	326																					5787	5787							1879351155																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Finesse	326														7794									5787						1879351122																																						Relics	*			109	2	63			2	
- Last Alliance Setting of Resistance	326																		3899							5788				1879351104																																						Relics	*			109	2	63			2	
- TBD T3 Rune of Power	345													1929			4907													1879351102																																						Relics	*	115		109	2	63			1,6	-0,4
- TBD T3 Rune of Healing	345													1929				8265												1879351127																																						Relics	*	115		109	2	63			1,6	-0,4
- TBD T3 Rune of Force	345													1929		4907														1879351136																																						Relics	*	115		109	2	63			1,6	-0,4
- Rare Vanguard Rune of Binding	330													1624																1879361268																																						Relics	*	115		109	2	63			0,6	-1,4
- Rare Vanguard Rune of Enchantment	330													1624																1879361269																																						Relics	*	115		109	2	63			0,6	-1,4
- Rare Vanguard Rune of Striking	330													1624																1879361271																																						Relics	*	115		109	2	63			0,6	-1,4
- Vanguard Gem of Agility	330			313																6792										1879351107																																						Relics	*	115		109	2	63			2	
- Vanguard Gem of Fate	330						313													6792										1879351124																																						Relics	*	115		109	2	63			2	
- Vanguard Gem of Might	330		313																	6792										1879351135																																						Relics	*	115		109	2	63			2	
- Vanguard Gem of Vitality	330				522															6792										1879351134																																						Relics	*	115		109	2	63			2	
- Vanguard Gem of Will	330					313														6792										1879351159																																						Relics	*	115		109	2	63			2	
- Vanguard Rune of Force	330													1624		4399														1879351117																																						Relics	*	115		109	2	63			1,6	-0,4
- Vanguard Rune of Healing	330													1624				7410												1879351108																																						Relics	*	115		109	2	63			1,6	-0,4
- Vanguard Rune of Power	330													1624			4399													1879351153																																						Relics	*	115		109	2	63			1,6	-0,4
- Vanguard Setting of Brutality	330													2707									3655	2436						1879351140																																						Relics	*	115		109	2	63			2	
- Vanguard Setting of Defence	330																					6091	6091							1879351109																																						Relics	*	115		109	2	63			2	
- Vanguard Setting of Finesse	330														8204									6091						1879351120																																						Relics	*	115		109	2	63			2	
- Vanguard Setting of Resistance	330																		4104							6092				1879351111																																						Relics	*	115		109	2	63			2	
